"","sampleID","peakCount","Experiment.target","cell","mark.type"
"99","ENCFF637KGB",208527,"H3K18ac","NPC","histone"
"148","ENCFF904BDC",207390,"H3K4me1","NPC","histone"
"125","ENCFF745GKP",144849,"H2AFZ","H1","TF"
"32","ENCFF239LQO",139565,"H3K36me3","NPC","histone"
"31","ENCFF238YJA",132520,"H3K4me1","H1","histone"
"54","ENCFF344MEX",120740,"H3K79me2","H1","histone"
"75","ENCFF453URK",114773,"H3K9me3","NPC","histone"
"30","ENCFF237XZS",111987,"H2BK12ac","H1","histone"
"107","ENCFF681CEO",111654,"H3K36me3","H1","histone"
"44","ENCFF295UVV",103479,"H4K20me1","H1","histone"
"14","ENCFF112KGU",94852,"H2AK5ac","NPC","histone"
"129","ENCFF788KUH",90330,"H4K91ac","H1","histone"
"102","ENCFF654ZZO",89206,"H3K9me3","H1","histone"
"160","ENCFF986AXA",87883,"H3K9ac","NPC","histone"
"23","ENCFF204MUK",87416,"H3K23ac","NPC","histone"
"77","ENCFF465DQM",86894,"H4K8ac","H1","histone"
"24","ENCFF215EPH",85247,"H2BK20ac","H1","histone"
"22","ENCFF192GAX",84533,"H3K18ac","H1","histone"
"140","ENCFF855ILJ",84346,"H2BK15ac","H1","histone"
"137","ENCFF833GVM",77292,"H3K4me3","NPC","histone"
"153","ENCFF929FTR",77272,"H2BK5ac","H1","histone"
"85","ENCFF532ZYE",74950,"RAD21","H1","TF"
"63","ENCFF408HPU",72783,"H3K14ac","NPC","histone"
"138","ENCFF836LZM",68352,"H3K4me2","H1","histone"
"109","ENCFF692RPA",67424,"CTCF","H1","TF"
"108","ENCFF689CJG",66472,"H3K27ac","H1","histone"
"111","ENCFF704UWK",60551,"H2BK15ac","NPC","histone"
"50","ENCFF320JIP",56984,"H2AK5ac","H1","histone"
"40","ENCFF281MTO",51305,"H3K79me1","NPC","histone"
"71","ENCFF437WQT",50972,"H2BK12ac","NPC","histone"
"11","ENCFF097DDN",50169,"H4K5ac","H1","histone"
"83","ENCFF499OQE",48305,"H3K4me2","NPC","histone"
"7","ENCFF050CUG",47659,"H3K27me3","H1","histone"
"103","ENCFF658MQQ",47418,"H2BK120ac","H1","histone"
"87","ENCFF567WXW",46549,"H3K23me2","H1","histone"
"42","ENCFF285PPN",44728,"H3K27ac","NPC","histone"
"52","ENCFF327EZJ",44451,"H3K4ac","H1","histone"
"86","ENCFF565JUO",43838,"H2BK5ac","NPC","histone"
"4","ENCFF041HYH",42149,"H3K4me3","H1","histone"
"76","ENCFF460LNS",40784,"MAX","H1","TF"
"10","ENCFF088PTH",37687,"H3K79me1","H1","histone"
"106","ENCFF679LHF",37615,"H3K9ac","H1","histone"
"110","ENCFF693FGQ",37101,"ASH2L","H1","TF"
"29","ENCFF235ROG",35318,"ZNF143","H1","TF"
"2","ENCFF021QGZ",34247,"KDM4A","H1","TF"
"51","ENCFF322DAE",32631,"POLR2A","H1","TF"
"112","ENCFF705IRW",32607,"H4K8ac","NPC","histone"
"80","ENCFF472HMD",32241,"H3K56ac","H1","histone"
"88","ENCFF573HEY",32136,"H3K27me3","NPC","histone"
"159","ENCFF978MNS",30866,"USF1","H1","TF"
