"","uniqueID","mark","family","family.count_200bp","subfamily","node","subfamily.count_200bp","intersect.count","intersect.count_200bp","subfamily.color","pvalue","mean.value","sd.value","log2FC","perC"
"1","E003-DNase LTR7 LTR7_g1","E003-DNase","LTR7",2268,"LTR7_g1","Node1/",1436,310,310,"#D5A151",0,55.17,7.1985618653515,2.46904287232672,0.215877437325905
"2","E003-DNase LTR7 LTR7_g10","E003-DNase","LTR7",2268,"LTR7_g10","Node56/97",13,1,1,"#7F9781",0.84,0.5,0.643538199442282,0.415037499278844,0.0769230769230769
"3","E003-DNase LTR7 LTR7_g11","E003-DNase","LTR7",2268,"LTR7_g11","Node115/96",12,3,3,"#5FE7CC",0.04,0.5,0.703526470681448,1.41503749927884,0.25
"4","E003-DNase LTR7 LTR7_g12","E003-DNase","LTR7",2268,"LTR7_g12","Node396/100",12,0,0,"#D1C8E4",2,0.72,0.829749871036355,-0.782408564927373,0
"5","E003-DNase LTR7 LTR7_g13","E003-DNase","LTR7",2268,"LTR7_g13","Node457/98",12,2,2,"#84D8E3",0.1,0.5,0.659047368816107,1,0.166666666666667
"6","E003-DNase LTR7 LTR7_g14","E003-DNase","LTR7",2268,"LTR7_g14","Node65/99",12,1,1,"#D9DF4E",0.92,0.65,0.833333333333333,0.277533975528909,0.0833333333333333
"7","E003-DNase LTR7 LTR7_g15","E003-DNase","LTR7",2268,"LTR7_g15","Node217/97",10,7,7,"#DBDB92",0,0.78,0.882832905704098,2.16812275880833,0.7
"8","E003-DNase LTR7 LTR7_g16","E003-DNase","LTR7",2268,"LTR7_g16","Node406/99",10,0,0,"#DB5D5D",2,0.37,0.562372319964831,-0.454175893185802,0
"9","E003-DNase LTR7 LTR7_g17","E003-DNase","LTR7",2268,"LTR7_g17","Node482/97",10,4,4,"#D492D3",0,0.48,0.703239258393227,1.75633091903314,0.4
"10","E003-DNase LTR7 LTR7_g18","E003-DNase","LTR7",2268,"LTR7_g18","Node77/99",10,1,1,"#5AD67F",0.74,0.42,0.589127072091164,0.494109070270043,0.1
"11","E003-DNase LTR7 LTR7_g2","E003-DNase","LTR7",2268,"LTR7_g2","Node218/99",509,179,179,"#7F70D8",0,19.57,3.86712379742962,3.12938320757947,0.351669941060904
"12","E003-DNase LTR7 LTR7_g3","E003-DNase","LTR7",2268,"LTR7_g3","Node219/96",85,31,31,"#E0A2A3",0,4.39,2.112468994453,2.56971472702222,0.364705882352941
"13","E003-DNase LTR7 LTR7_g4","E003-DNase","LTR7",2268,"LTR7_g4","Node419/100",45,7,7,"#76EB41",0,1.81,1.11640657305645,1.5094298695538,0.155555555555556
"14","E003-DNase LTR7 LTR7_g5","E003-DNase","LTR7",2268,"LTR7_g5","Node2/96",24,2,2,"#DC5AC5",0.6,1.09,1.05500251328151,0.521459558414998,0.0833333333333333
"15","E003-DNase LTR7 LTR7_g6","E003-DNase","LTR7",2268,"LTR7_g6","Node154/98",20,2,2,"#B1E779",0.24,0.62,0.749140922131558,0.888968687611256,0.1
"16","E003-DNase LTR7 LTR7_g7","E003-DNase","LTR7",2268,"LTR7_g7","Node399/97",18,0,0,"#7C9DD0",2,0.98,0.909878446760218,-0.985500430304885,0
"17","E003-DNase LTR7 LTR7_g8","E003-DNase","LTR7",2268,"LTR7_g8","Node247/97",16,8,8,"#DADFCD",0,0.72,0.779536251675807,2.38751643651494,0.5
"18","E003-DNase LTR7 LTR7_g9","E003-DNase","LTR7",2268,"LTR7_g9","Node395/98",13,2,2,"#B2E9BA",0.22,0.52,0.74508490465954,0.980891177052295,0.153846153846154
"19","E003-DNase LTR7 LTR7_U","E003-DNase","LTR7",2268,"LTR7_U","Ungrouped",1,0,0,"black",2,0.05,0.21904291355759,-0.070389327891398,0
"20","E003-DNase LTR7B LTR7B_g1","E003-DNase","LTR7B",693,"LTR7B_g1","Node5/98",439,9,9,"#DC84C3",2,26.11,4.56135501753148,-1.43882511317562,0.020501138952164
"21","E003-DNase LTR7B LTR7B_g2","E003-DNase","LTR7B",693,"LTR7B_g2","Node74/100",89,1,1,"#D5D278",2,4.56,2.20797452774064,-1.47508488294878,0.0112359550561798
"22","E003-DNase LTR7B LTR7B_g3","E003-DNase","LTR7B",693,"LTR7B_g3","Node2/96",47,4,4,"#8D9CD8",0.42,2.55,1.45209705549796,0.494109070270043,0.0851063829787234
"23","E003-DNase LTR7B LTR7B_g4","E003-DNase","LTR7B",693,"LTR7B_g4","Node161/98",38,2,2,"#B452DB",0.78,1.29,1.10366698241852,0.389614902398937,0.0526315789473684
"24","E003-DNase LTR7B LTR7B_g5","E003-DNase","LTR7B",693,"LTR7B_g5","Node79/97",32,0,0,"#85DDCA",2,1.85,1.17529278535739,-1.51096191927738,0
"25","E003-DNase LTR7B LTR7B_g6","E003-DNase","LTR7B",693,"LTR7B_g6","Node45/97",15,1,1,"#87E468",1.08,0.68,0.763828739597002,0.251538766995964,0.0666666666666667
"26","E003-DNase LTR7B LTR7B_g7","E003-DNase","LTR7B",693,"LTR7B_g7","Node75/96",12,0,0,"#D8806A",2,0.65,0.672324476737387,-0.722466024471091,0
