"","mark","family.group","functional.group","family.cluster","no.subfamilies.FG","subfamily.count_200bp.FG","intersect.count_200bp.FG","uniqueID.FG","pvalue","mean.value","sd.value","log2FC","perC"
"1","E003-DNase","G1","PG1","MER9a",1,28,1,"E003-DNase G1 PG1 MER9a",1.78,1.81,1.20348819619631,-0.490570130446201,0.0357142857142857
"2","E003-DNase","G1","PG2","MER9a",7,516,14,"E003-DNase G1 PG2 MER9a",2,27.66,4.45906182097,-0.934076108878902,0.0271317829457364
"3","E003-DNase","G1","PG3","MER9a",6,601,16,"E003-DNase G1 PG3 MER9a",2,33.03,5.22514317623175,-1.00127240493994,0.0266222961730449
"4","E003-DNase","G10","PG1","LTR14",2,85,0,"E003-DNase G10 PG1 LTR14",2,7.28,2.59011329263545,-3.0496307677246,0
"5","E003-DNase","G10","PG2","LTR14",2,120,8,"E003-DNase G10 PG2 LTR14",0.72,6.96,2.71144227154465,0.177156570673388,0.0666666666666667
"6","E003-DNase","G11","PG1","LTR14A",3,34,4,"E003-DNase G11 PG1 LTR14A",0.36,2.33,1.45681956066056,0.586405917590825,0.117647058823529
"7","E003-DNase","G11","PG2","LTR14A",6,258,28,"E003-DNase G11 PG2 LTR14A",0,13.25,3.30097934656742,1.02509098096283,0.108527131782946
"8","E003-DNase","G11","PG3","LTR14A",2,89,7,"E003-DNase G11 PG3 LTR14A",0.22,4.17,1.974867339874,0.62983571945979,0.0786516853932584
"9","E003-DNase","G12","PG1","LTR17",4,237,14,"E003-DNase G12 PG1 LTR17",1.32,15.5,3.8520622838142,-0.137503523749935,0.0590717299578059
"10","E003-DNase","G12","PG2","LTR17",2,76,7,"E003-DNase G12 PG2 LTR17",0.36,4.28,2.00544712765462,0.599462070416271,0.0921052631578947
"11","E003-DNase","G12","PG3","LTR17",7,448,52,"E003-DNase G12 PG3 LTR17",0,24.16,4.60504773552508,1.07486043745863,0.116071428571429
"12","E003-DNase","G13","PG1","LTR22",3,137,23,"E003-DNase G13 PG1 LTR22",0,6.87,2.77308492477241,1.60859886498839,0.167883211678832
"13","E003-DNase","G13","PG2","LTR22",2,25,5,"E003-DNase G13 PG2 LTR22",0,0.84,0.872937685072767,1.70525673443887,0.2
"14","E003-DNase","G13","PG3","LTR22",7,182,17,"E003-DNase G13 PG3 LTR22",0,7.64,2.67241804024336,1.05889368905357,0.0934065934065934
"15","E003-DNase","G13","PG4","LTR22",12,170,50,"E003-DNase G13 PG4 LTR22",0,7.34,2.26175939382498,2.61237795830156,0.294117647058824
"16","E003-DNase","G13","PG5","LTR22",1,88,7,"E003-DNase G13 PG5 LTR22",0.36,4.75,1.94559850312276,0.476438043942987,0.0795454545454545
"17","E003-DNase","G13","PG6","LTR22",7,142,20,"E003-DNase G13 PG6 LTR22",0,5.23,2.20126226414654,1.75308525952948,0.140845070422535
"18","E003-DNase","G14","PG1","LTR15",1,30,0,"E003-DNase G14 PG1 LTR15",2,1.95,1.13150476371204,-1.56071495447448,0
"19","E003-DNase","G14","PG2","LTR15",2,31,3,"E003-DNase G14 PG2 LTR15",1.04,2.61,1.43474208430813,0.148001162887554,0.0967741935483871
"20","E003-DNase","G14","PG3","LTR15",2,31,3,"E003-DNase G14 PG3 LTR15",0.44,1.45,1.26630776414557,0.707218250772154,0.0967741935483871
"21","E003-DNase","G14","PG4","LTR15",4,206,4,"E003-DNase G14 PG4 LTR15",2,12.5,3.40676688460784,-1.43295940727611,0.0194174757281553
"22","E003-DNase","G15","PG1","LTR61",3,72,9,"E003-DNase G15 PG1 LTR61",0.2,5.35,2.52812462932786,0.655171503002559,0.125
"23","E003-DNase","G15","PG2","LTR61",2,49,3,"E003-DNase G15 PG2 LTR61",1.46,3.68,1.81953485009413,-0.22650852980868,0.0612244897959184
"24","E003-DNase","G16","PG1","LTR66",3,178,4,"E003-DNase G16 PG1 LTR66",2,12.08,3.14202533922361,-1.387362540836,0.0224719101123595
"25","E003-DNase","G17","PG1","LTR4",3,40,8,"E003-DNase G17 PG1 LTR4",0,2.55,1.52669842497072,1.34210597682499,0.2
"26","E003-DNase","G17","PG2","LTR4",1,108,14,"E003-DNase G17 PG2 LTR4",0.06,7.2,2.71917991202116,0.871266685877797,0.12962962962963
"27","E003-DNase","G17","PG3","LTR4",4,77,12,"E003-DNase G17 PG3 LTR4",0.02,4.54,2.11497785168812,1.23055374186663,0.155844155844156
"28","E003-DNase","G18","PG1","LTR25",27,780,160,"E003-DNase G18 PG1 LTR25",0,24.64,5.23878311107155,2.6505925212706,0.205128205128205
"29","E003-DNase","G18","PG2","LTR25",4,415,100,"E003-DNase G18 PG2 LTR25",0,12.89,3.34209454677691,2.86223678854513,0.240963855421687
"30","E003-DNase","G18","PG3","LTR25",7,212,33,"E003-DNase G18 PG3 LTR25",0,7.59,2.51096584902095,1.9848047098866,0.155660377358491
"31","E003-DNase","G18","PG4","LTR25",4,109,13,"E003-DNase G18 PG4 LTR25",0,4.35,1.90361166568641,1.38781603054382,0.119266055045872
"32","E003-DNase","G18","PG5","LTR25",4,197,27,"E003-DNase G18 PG5 LTR25",0,8.48,2.79422203263749,1.56246786293407,0.137055837563452
"33","E003-DNase","G18","PG6","LTR25",5,112,10,"E003-DNase G18 PG6 LTR25",0.24,6.58,2.66734839770651,0.53723377024093,0.0892857142857143
"34","E003-DNase","G18","PG7","LTR25",8,178,13,"E003-DNase G18 PG7 LTR25",0.38,9.2,3.01511344577764,0.456857674973471,0.0730337078651685
"35","E003-DNase","G19","PG1","MER11D",2,72,6,"E003-DNase G19 PG1 MER11D",0.36,3.93,2.11896201004171,0.505767275454417,0.0833333333333333
"36","E003-DNase","G19","PG2","MER11D",1,158,6,"E003-DNase G19 PG2 MER11D",1.96,11.61,3.09086304184355,-0.849141448495891,0.0379746835443038
"37","E003-DNase","G2","PG1","LTR5",3,91,2,"E003-DNase G2 PG1 LTR5",2,11.29,3.30379335083938,-2.03445050987678,0.021978021978022
"38","E003-DNase","G2","PG2","LTR5",4,102,25,"E003-DNase G2 PG2 LTR5",0,14.27,3.02466293305318,0.767811561118965,0.245098039215686
"39","E003-DNase","G2","PG3","LTR5",1,68,1,"E003-DNase G2 PG3 LTR5",2,7.93,2.51562792129199,-2.1586601753465,0.0147058823529412
"40","E003-DNase","G2","PG4","LTR5",7,282,1,"E003-DNase G2 PG4 LTR5",2,31.88,4.3258209940689,-4.03913839390696,0.00354609929078014
"41","E003-DNase","G2","PG5","LTR5",13,360,92,"E003-DNase G2 PG5 LTR5",0,39.96,5.60108214652501,1.18301500088276,0.255555555555556
"42","E003-DNase","G2","PG6","LTR5",1,258,24,"E003-DNase G2 PG6 LTR5",1.9,31.21,4.78696673322998,-0.365580565833365,0.0930232558139535
"43","E003-DNase","G3","PG1","LTR6",6,71,17,"E003-DNase G3 PG1 LTR6",0,3.24,1.67645609859162,2.08586073665384,0.23943661971831
"44","E003-DNase","G3","PG2","LTR6",2,26,14,"E003-DNase G3 PG2 LTR6",0,0.98,0.909878446760218,2.92139016530363,0.538461538461538
"45","E003-DNase","G3","PG3","LTR6",1,54,2,"E003-DNase G3 PG3 LTR6",1.96,5.04,2.03960780543711,-1.0095860488292,0.037037037037037
"46","E003-DNase","G3","PG4","LTR6",3,138,5,"E003-DNase G3 PG4 LTR6",1.98,9.48,2.57603563561524,-0.80460431104157,0.036231884057971
"47","E003-DNase","G4","PG1","LTR2",13,758,42,"E003-DNase G4 PG1 LTR2",0.7,39.57,5.31674503599503,0.0839233572705497,0.0554089709762533
