,subfamily,species,subfamily.species,Order,family.group,functional.group,family.cluster,subfamily2_1,subfamily2_2,Y.axis,family.count_200bp,subfamily.count_200bp,tree,treeOrder,Node_ID,liftover_count.macque,perC.macque,Subfamily_color,functional.group.original,instance.cluster.name,subfamily.cluster.order,functional.group.order,branch.length.ToKeptNode
1,MER9B_g1,hg19,h_MER9B_g1,1,G1,PG1,MER9a,MER9B,1,G1 PG1,38,28,Step21_hg19_G1_v1,4,Node4/96,21,0.75,#C082C8,FG2,MER9B_c1,10,1,0.03787128
2,MER9a3_g7,hg19,h_MER9a3_g7,2,G1,PG2,MER9a,MER9a3,7,G1 PG2,535,11,Step21_hg19_G1_v1,4,Node4/100,8,0.727272727,#B197D6,FG1,MER9a3_c7,10,2,0.092846688
3,MER9a3_g2,hg19,h_MER9a3_g2,3,G1,PG2,MER9a,MER9a3,2,G1 PG2,535,46,Step21_hg19_G1_v1,4,Node16/98,30,0.652173913,#D8CB75,FG1,MER9a3_c2,10,2,0.076964242
4,MER9a3_g6,hg19,h_MER9a3_g6,4,G1,PG2,MER9a,MER9a3,6,G1 PG2,535,13,Step21_hg19_G1_v1,4,Node139/96,6,0.461538462,#9BE659,FG3,MER9a3_c6,10,2,0.14287994
5,MER9a3_g5,hg19,h_MER9a3_g5,5,G1,PG2,MER9a,MER9a3,5,G1 PG2,535,15,Step21_hg19_G1_v1,4,Node28/99,10,0.666666667,#84CAD7,FG3,MER9a3_c5,10,2,0.116351697
6,MER9a3_g3,hg19,h_MER9a3_g3,6,G1,PG2,MER9a,MER9a3,3,G1 PG2,535,19,Step21_hg19_G1_v1,4,Node118/97,7,0.368421053,#D8D1C8,FG3,MER9a3_c3,10,2,0.115755612
7,MER9a3_g4,hg19,h_MER9a3_g4,7,G1,PG2,MER9a,MER9a3,4,G1 PG2,535,16,Step21_hg19_G1_v1,4,Node109/96,14,0.875,#BE56D5,FG3,MER9a3_c4,10,2,0.114339796
8,MER9a3_g1,hg19,h_MER9a3_g1,8,G1,PG2,MER9a,MER9a3,1,G1 PG2,535,396,Step21_hg19_G1_v1,4,Node13/99,257,0.648989899,#DB7D79,FG3,MER9a3_c1,10,2,0.10697498
9,MER9a2_g1,hg19,h_MER9a2_g1,9,G1,PG3,MER9a,MER9a2,1,G1 PG3,282,259,Step21_hg19_G1_v1,4,Node2/100,36,0.138996139,#B870D5,FG4,MER9a2_c1,10,3,0.147819795
10,MER9a2_g3,hg19,h_MER9a2_g3,10,G1,PG3,MER9a,MER9a2,3,G1 PG3,282,10,Step21_hg19_G1_v1,4,Node4/100,0,0,#A8CFD2,FG4,MER9a2_c3,10,3,0.198455871
