"","TE_family","mean.div","mean.age","mean.Len","count","sd.Len","sum.Len","count.200"
"1","(CATTC)n:Satellite:Satellite",14.714598540146,66.8845388188454,332.196167883212,1096,256.946898239659,364087,575
"2","(GAATG)n:Satellite:Satellite",16.457268722467,74.8057669203044,319.121879588839,1362,250.878473860502,434644,675
"3","7SK:RNA:RNA",23.3378600823045,106.081182192293,164.886145404664,729,71.643515673132,120202,294
"4","ACRO1:acro:Satellite",17.8032786885246,80.9239940387481,744.803278688525,61,608.67642798869,45433,59
"5","ALINE:RTE:LINE",28.9018115942029,131.37187088274,214.655797101449,276,121.275168720104,59245,126
"6","ALR/Alpha:centr:Satellite",16.7550345887779,76.1592481308085,5723.54803996926,1301,8763.05625901443,7446336,1223
"7","AluJb:Alu:SINE",16.6979481872434,75.8997644874701,235.000296664253,144945,81.100668172631,34062118,94459
"8","AluJo:Alu:SINE",16.3279144710455,74.2177930502066,230.579146093523,72303,83.728356131523,16671564,46406
"9","AluJr:Alu:SINE",16.7332297131015,76.0601350595522,241.605142154005,77205,76.5259725002385,18653125,54338
"10","AluJr4:Alu:SINE",17.2638959570257,78.472254350117,243.489397794741,17685,73.1126561380744,4306110,12689
"11","AluSc:Alu:SINE",9.75487730683431,44.3403513947014,283.159341773619,34517,47.29422053961,9773811,32133
"12","AluSc5:Alu:SINE",9.35711790393013,42.5323541087733,277.068995633188,6870,56.2187967462391,1903464,6179
"13","AluSc8:Alu:SINE",9.79644989290434,44.5293176950197,283.625939935287,21943,45.5478764297568,6223604,19884
"14","AluSg:Alu:SINE",10.3951317971021,47.250599077737,293.134584424634,41617,26.6642242216229,12199382,40875
"15","AluSg4:Alu:SINE",10.2019610458911,46.3725502085961,281.438900747065,7496,50.1812432454072,2109666,6802
"16","AluSg7:Alu:SINE",9.1868496079829,41.7584073090132,275.284390591589,8418,57.7678935040143,2317344,7457
"17","AluSp:Alu:SINE",9.54972023655443,43.4078192570656,288.824416080922,50221,43.338400976773,14505051,47196
"18","AluSq:Alu:SINE",10.5186301369863,47.8119551681196,292.892237442923,21900,40.4922312302879,6414340,20862
"19","AluSq10:Alu:SINE",9.72668562144598,44.212207370209,212.346466287571,2462,95.4396134464812,522797,1332
"20","AluSq2:Alu:SINE",10.6370036329459,48.3500165133906,291.101035660708,55327,37.9383765301238,16105747,52988
"21","AluSq4:Alu:SINE",9.63221523410203,43.7827965186456,272.169811320755,1431,60.5020356581129,389475,1233
"22","AluSx:Alu:SINE",11.7655296080644,53.4796800366564,251.934296613749,144437,77.5011235378041,36388634,105084
"23","AluSx1:Alu:SINE",11.149357129323,50.6788960423774,291.703359168464,110831,32.9171041023197,32329775,106717
"24","AluSx3:Alu:SINE",11.2837948267711,51.2899764853233,280.370061457419,29614,50.5899046175331,8302879,26841
"25","AluSx4:Alu:SINE",10.6082324455206,48.2192383887299,272.636112071947,5782,56.9066406175584,1576382,5048
"26","AluSz:Alu:SINE",12.1101603571174,55.0461834414429,287.420731521308,98343,42.8202725815772,28265817,93227
"27","AluSz6:Alu:SINE",13.110971958123,59.5953270823771,265.459598277709,45753,70.4449307985328,12145573,38199
"28","AluY:Alu:SINE",6.97092449654692,31.6860204388496,291.331396071864,120617,41.6897047685172,35139519,114604
"29","AluYa5:Alu:SINE",1.51995916283818,6.9089052856281,294.293006636039,3918,38.965921326992,1153040,3726
"30","AluYa8:Alu:SINE",7.3508875739645,33.4131253362023,128.402366863905,338,77.7713928721704,43400,51
"31","AluYb8:Alu:SINE",2.29544498948844,10.4338408613111,281.140504555011,2854,75.7471457800346,802375,2466
"32","AluYb9:Alu:SINE",1.99082568807339,9.04920767306088,293.74006116208,327,54.9262446125302,96053,302
"33","AluYc:Alu:SINE",8.52335954924287,38.7425434056494,142.804671909849,8519,97.8646245338732,1216553,2464
"34","AluYc3:Alu:SINE",6.60561403508772,30.0255183413078,250.156140350877,570,87.9767214728138,142589,465
"35","AluYc5:Alu:SINE",10.3488888888889,47.040404040404,117.911111111111,45,103.187345555685,5306,12
"36","AluYd8:Alu:SINE",4.30666666666667,19.5757575757576,227.36,225,104.458549537262,51156,162
"37","AluYf4:Alu:SINE",4.93966642494561,22.4530292042982,261.659173313996,1379,84.2079627781856,360828,1139
"38","AluYf5:Alu:SINE",4.92444444444444,22.3838383838384,292.988888888889,180,32.8949553601158,52738,172
"39","AluYg6:Alu:SINE",5.93312421580929,26.9687464354968,202.796737766625,797,114.775535096471,161629,452
"40","AluYh9:Alu:SINE",11.7632352941176,53.4692513368984,107.661764705882,272,91.7200715307046,29284,48
"41","AluYk11:Alu:SINE",10.377969348659,47.17258794845,78.7959770114942,1044,78.4800451770438,82263,111
"42","AluYk12:Alu:SINE",6.51964285714286,29.6347402597403,176.441964285714,224,112.430212445604,39523,98
"43","AluYk4:Alu:SINE",6.08935259497057,27.6788754316844,285.304440877475,1869,51.4449029254914,533234,1736
"44","AmnSINE1:Deu:SINE",28.9339605734767,131.518002606712,142.198924731183,1116,71.355296444492,158694,207
"45","AmnSINE2:Deu:SINE",29.0429530201342,132.013422818792,137.489932885906,149,58.3172378958938,20486,20
"46","Arthur1:hAT-Tip100:DNA",23.3117546117546,105.962520962521,326.790218790219,2331,258.327205774658,761748,1442
"47","Arthur1A:hAT-Tip100:DNA",24.2704506065858,110.320230029935,136.681975736568,1154,39.0026161096377,157731,7
"48","Arthur1B:hAT-Tip100:DNA",24.5819516407599,111.736143821636,259.325993091537,2316,247.742984003995,600599,957
"49","Arthur1C:hAT-Tip100:DNA",21.7465734265734,98.8480610298792,145.500699300699,715,101.411817813445,104033,208
"50","BLACKJACK:hAT-Blackjack:DNA",24.2055347091932,110.02515776906,386.7021575985,2132,421.328834521991,824449,1131
"51","BSR/Beta:Satellite:Satellite",27.4513608870968,124.778913123167,720.22328629032,1984,980.181751669396,1428923,1555
"52","CER:Satellite:Satellite",12.9763888888889,58.9835858585859,7535.16666666667,72,18338.9163356562,542532,50
"53","Charlie1:hAT-Charlie:DNA",21.0991679667187,95.9053089396303,327.549141965678,1923,346.416630439413,629877,1013
"54","Charlie10:hAT-Charlie:DNA",23.8439716312057,108.381689232753,281.251773049645,1128,333.954704855034,317252,513
"55","Charlie10a:hAT-Charlie:DNA",25.3,115,162.1926910299,301,65.4371154600676,48820,105
"56","Charlie10b:hAT-Charlie:DNA",24.4007352941176,110.91243315508,159.941176470588,272,63.935018291422,43504,96
"57","Charlie11:hAT-Charlie:DNA",27.0666666666667,123.030303030303,376.009259259259,108,376.164770403747,40609,62
"58","Charlie12:hAT-Charlie:DNA",14.0318181818182,63.7809917355372,354.5,22,658.819994925993,7799,12
"59","Charlie13a:hAT-Charlie:DNA",27.1987387387387,123.630630630631,321.079279279279,555,267.013853639808,178199,314
"60","Charlie13b:hAT-Charlie:DNA",27.5872549019608,125.396613190731,207.041666666667,408,105.36752447002,84473,189
"61","Charlie14a:hAT-Charlie:DNA",25.3124045801527,115.056384455239,164.410305343511,524,134.257513359949,86151,141
"62","Charlie15a:hAT-Charlie:DNA",27.9244880046811,126.929490930369,126.587770626097,3418,48.9336753733707,432677,350
"63","Charlie16a:hAT-Charlie:DNA",26.7232828282828,121.469467401286,151.965656565657,1980,68.840889352294,300892,461
"64","Charlie17a:hAT-Charlie:DNA",27.4548805460751,124.794911573069,129.997269624573,1465,53.1161475368082,190446,161
"65","Charlie18a:hAT-Charlie:DNA",24.7502215062424,112.501006846557,166.144180426903,2483,80.4481965123013,412536,792
"66","Charlie19a:hAT-Charlie:DNA",26.7698817672682,121.68128076031,169.148102053516,1607,82.5642764503686,271821,494
"67","Charlie1a:hAT-Charlie:DNA",20.1658234383067,91.6628338104848,379.75236620203,5811,351.406317690406,2206741,3397
"68","Charlie1b_Mars:hAT-Charlie:DNA",15.65,71.1363636363637,209,2,217.788888605457,418,1
"69","Charlie1b:hAT-Charlie:DNA",19.9632512315271,90.7420510523959,216.119540229885,3045,156.92743421148,658084,1264
"70","Charlie20a:hAT-Charlie:DNA",27.3340546697039,124.245703044109,240.044419134396,878,163.975834870563,210759,420
"71","Charlie21a:hAT-Charlie:DNA",25.2398384925976,114.726538602716,282.582772543742,743,220.351717930671,209959,403
"72","Charlie22a:hAT-Charlie:DNA",26.5015274034142,120.461488197337,171.146451033243,1113,103.61950981057,190486,314
"73","Charlie23a:hAT-Charlie:DNA",26.6504710632571,121.138504832987,163.07200538358,1486,72.0939776477904,242325,451
"74","Charlie24:hAT-Charlie:DNA",25.2150602409639,114.613910186199,214.626506024096,1328,278.868997325213,285024,348
"75","Charlie25:hAT-Charlie:DNA",27.8428571428571,126.558441558442,367.928571428572,1078,341.41039531855,396627,640
"76","Charlie26a:hAT-Charlie:DNA",24.407572815534,110.943512797882,156.817475728155,515,76.267280911178,80761,164
"77","Charlie2a:hAT-Charlie:DNA",24.9106331561141,113.230150709609,305.812953117448,2069,293.76168696687,632727,1155
