File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF244VKF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BKK	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EP300-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF678QCL/, /files/ENCFF356LFX/, /files/ENCFF136KAK/	171384	ENCODE Processing Pipeline	a5fd8938ab8ac933d808bf88406c236a		https://www.encodeproject.org/files/ENCFF244VKF/@@download/ENCFF244VKF.bed.gz				released	s3://encode-public/2020/12/11/6f4e9e54-ade2-4a2d-ab8f-e0fada9b1c5e/ENCFF244VKF.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, borderline replicate concordance		
ENCFF615KYG	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BKK	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EP300-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF678QCL/, /files/ENCFF136KAK/	590637670	ENCODE Processing Pipeline	43725d33bbb296ac91db595e59d14df9		https://www.encodeproject.org/files/ENCFF615KYG/@@download/ENCFF615KYG.bigWig				released	s3://encode-public/2020/12/11/5ed3aece-a100-4b8d-b76f-4b54f4715dc9/ENCFF615KYG.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, borderline replicate concordance		
ENCFF927IYK	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BKK	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EP300-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF244VKF/	311815	ENCODE Processing Pipeline	cdf8f2de6e888f9f466bf9755ebb149d		https://www.encodeproject.org/files/ENCFF927IYK/@@download/ENCFF927IYK.bigBed				released	s3://encode-public/2020/12/11/e2f33993-3a1a-48bd-9f19-69124726de9e/ENCFF927IYK.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, borderline replicate concordance		
ENCFF711HXS	bigWig	bigWig		signal p-value	GRCh38	ENCSR000ATQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										HDAC6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF480XHF/, /files/ENCFF451YMU/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF853FRF/	1820883626	ENCODE Processing Pipeline	a96b4da3ce4e9a4bc43fa35a6b6b23b6		https://www.encodeproject.org/files/ENCFF711HXS/@@download/ENCFF711HXS.bigWig				released	s3://encode-public/2021/03/20/59329fb2-5160-47bd-8534-7b6f2d33a721/ENCFF711HXS.bigWig	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, inconsistent platforms, low read length		
ENCFF799IKG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ATQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										HDAC6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF802HUU/	48040	ENCODE Processing Pipeline	d2e68b480d511ad9b0b73db33cf9a2e4		https://www.encodeproject.org/files/ENCFF799IKG/@@download/ENCFF799IKG.bigBed				released	s3://encode-public/2021/03/20/83493c46-47ee-4add-9efb-b9580519d06a/ENCFF799IKG.bigBed	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, inconsistent platforms, low read length		
ENCFF802HUU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ATQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										HDAC6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF480XHF/, /files/ENCFF451YMU/, /files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF356LFX/, /files/ENCFF853FRF/	3259	ENCODE Processing Pipeline	2699038a4b552d45a9d31548e1a3c243		https://www.encodeproject.org/files/ENCFF802HUU/@@download/ENCFF802HUU.bed.gz				released	s3://encode-public/2021/03/20/eac83249-80da-44f9-9da3-20b24db20789/ENCFF802HUU.bed.gz	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, inconsistent platforms, low read length		
ENCFF258EZO	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EBV	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CEBPB-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF972YCC/, /files/ENCFF995XEA/, /files/ENCFF869URY/	815407397	ENCODE Processing Pipeline	e7836d6ba1fad9518051c433fde9c874		https://www.encodeproject.org/files/ENCFF258EZO/@@download/ENCFF258EZO.bigWig				released	s3://encode-public/2020/12/10/8844fbd3-947d-4aa2-9afe-7f03fb45ec2e/ENCFF258EZO.bigWig	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF823KCM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBV	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CEBPB-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF972YCC/, /files/ENCFF356LFX/, /files/ENCFF995XEA/, /files/ENCFF869URY/	357918	ENCODE Processing Pipeline	248d11012573504d157aff69275a7ba8		https://www.encodeproject.org/files/ENCFF823KCM/@@download/ENCFF823KCM.bed.gz				released	s3://encode-public/2020/12/10/68fecfeb-44ca-4d15-b488-1f84982638a7/ENCFF823KCM.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF871PTR	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBV	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CEBPB-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF823KCM/	572969	ENCODE Processing Pipeline	30194d410deb58730c0594a71b42dd38		https://www.encodeproject.org/files/ENCFF871PTR/@@download/ENCFF871PTR.bigBed				released	s3://encode-public/2020/12/10/96a985d7-06e1-4932-9d61-94115a2d8948/ENCFF871PTR.bigBed	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF304QGS	bigBed narrowPeak	bigBed	narrowPeak	replicated peaks	GRCh38	ENCSR000APX	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H2AFZ-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_2							/files/ENCFF745GKP/	6533868	ENCODE Processing Pipeline	f91ac0cdea897c3a9bc1f6e84c5d9f24		https://www.encodeproject.org/files/ENCFF304QGS/@@download/ENCFF304QGS.bigBed				released	s3://encode-public/2019/02/01/05f68f5c-ade6-48e1-aaf8-dfe8551870dc/ENCFF304QGS.bigBed	ENCODE3 GRCh38	released	inconsistent platforms, low read length		
ENCFF758YFI	bigWig	bigWig		signal p-value	GRCh38	ENCSR000APX	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H2AFZ-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_2							/files/ENCFF064DDT/, /files/ENCFF673SFE/, /files/ENCFF156BHJ/, /files/ENCFF504ZFN/	2369383099	ENCODE Processing Pipeline	6fa9f355158f2a2d91f2a3c1e85821f0		https://www.encodeproject.org/files/ENCFF758YFI/@@download/ENCFF758YFI.bigWig				released	s3://encode-public/2019/02/01/98c0a9e6-fcb4-4898-9c60-8421b01737db/ENCFF758YFI.bigWig	ENCODE3 GRCh38	released	inconsistent platforms, low read length		
ENCFF745GKP	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000APX	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H2AFZ-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_2							/files/ENCFF255ENP/, /files/ENCFF714FMV/, /files/ENCFF105OFW/	3340438	ENCODE Processing Pipeline	add1081ad7d5947697f52ddda06c18d0		https://www.encodeproject.org/files/ENCFF745GKP/@@download/ENCFF745GKP.bed.gz				released	s3://encode-public/2019/02/01/6c4d9a6a-5138-4a86-bfc7-114cdd30c491/ENCFF745GKP.bed.gz	ENCODE3 GRCh38	released	inconsistent platforms, low read length		
ENCFF086OAW	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EUQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SUZ12-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF705DGO/, /files/ENCFF870UGH/, /files/ENCFF526ZIN/	481793539	ENCODE Processing Pipeline	fb184e4e8f61fc021afd54cabc92ab88		https://www.encodeproject.org/files/ENCFF086OAW/@@download/ENCFF086OAW.bigWig				released	s3://encode-public/2021/02/12/644ad687-2a9a-4769-b400-a232272fd1b8/ENCFF086OAW.bigWig	ENCODE4 v1.7.0 GRCh38	released	low read depth, borderline replicate concordance	insufficient read depth, insufficient read length	
ENCFF225AMM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EUQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SUZ12-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF705DGO/, /files/ENCFF356LFX/, /files/ENCFF870UGH/, /files/ENCFF526ZIN/	78393	ENCODE Processing Pipeline	9b3ea27c4d372e17363ec959d4ab9bf7		https://www.encodeproject.org/files/ENCFF225AMM/@@download/ENCFF225AMM.bed.gz				released	s3://encode-public/2021/02/12/7a159af3-6587-405e-8534-eba566808925/ENCFF225AMM.bed.gz	ENCODE4 v1.7.0 GRCh38	released	low read depth, borderline replicate concordance	insufficient read depth, insufficient read length	
ENCFF507HGF	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EUQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SUZ12-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF225AMM/	240394	ENCODE Processing Pipeline	2f5665efc27bc4919440e8ce8068fca2		https://www.encodeproject.org/files/ENCFF507HGF/@@download/ENCFF507HGF.bigBed				released	s3://encode-public/2021/02/12/763c34b0-9be0-4718-b988-0915867d8150/ENCFF507HGF.bigBed	ENCODE4 v1.7.0 GRCh38	released	low read depth, borderline replicate concordance	insufficient read depth, insufficient read length	
ENCFF344MEX	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000APY	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K79me2-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_2							/files/ENCFF364UKH/, /files/ENCFF190UVL/, /files/ENCFF016KAL/	2947640	ENCODE Processing Pipeline	3e30a94ee58aa38661ed12214dc6eff0		https://www.encodeproject.org/files/ENCFF344MEX/@@download/ENCFF344MEX.bed.gz				released	s3://encode-public/2019/02/01/20b02740-39cd-4a02-b0f6-1f5117fd7714/ENCFF344MEX.bed.gz	ENCODE3 GRCh38	released	inconsistent platforms, low read length	insufficient read depth	
ENCFF640WRD	bigWig	bigWig		signal p-value	GRCh38	ENCSR000APY	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K79me2-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_2							/files/ENCFF965LBC/, /files/ENCFF064DDT/, /files/ENCFF504ZFN/, /files/ENCFF334FBV/	2112083075	ENCODE Processing Pipeline	138be720aa023bbbc72f7c680976e08e		https://www.encodeproject.org/files/ENCFF640WRD/@@download/ENCFF640WRD.bigWig				released	s3://encode-public/2019/02/01/44d657c3-5ad1-45ae-9447-cf3181e00821/ENCFF640WRD.bigWig	ENCODE3 GRCh38	released	inconsistent platforms, low read length	insufficient read depth	
ENCFF523PIG	bigBed narrowPeak	bigBed	narrowPeak	replicated peaks	GRCh38	ENCSR000APY	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K79me2-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_2							/files/ENCFF344MEX/	4707221	ENCODE Processing Pipeline	1f08c17214586e975e54716d67de360a		https://www.encodeproject.org/files/ENCFF523PIG/@@download/ENCFF523PIG.bigBed				released	s3://encode-public/2019/02/01/fa13acdf-b4a4-4a4b-85a6-fe1329ff8e26/ENCFF523PIG.bigBed	ENCODE3 GRCh38	released	inconsistent platforms, low read length	insufficient read depth	
ENCFF252FBN	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AMG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF064DDT/, /files/ENCFF153RJP/, /files/ENCFF571AXH/, /files/ENCFF504ZFN/	1636334189	ENCODE Processing Pipeline	46d5e1096b13db2a14af17d364110d68		https://www.encodeproject.org/files/ENCFF252FBN/@@download/ENCFF252FBN.bigWig				released	s3://encode-public/2019/02/01/dbb70273-2eae-447d-9267-8b81ef3bef40/ENCFF252FBN.bigWig	ENCODE3 GRCh38	released	low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF668YOE	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000AMG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF781GRI/, /files/ENCFF196XVW/, /files/ENCFF137UXJ/	935734	ENCODE Processing Pipeline	cc8e821761b89374358e06924dd1df67		https://www.encodeproject.org/files/ENCFF668YOE/@@download/ENCFF668YOE.bed.gz				released	s3://encode-public/2019/02/01/add2fb59-c933-4415-b593-0e82627d5e7d/ENCFF668YOE.bed.gz	ENCODE3 GRCh38	released	low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF400OQM	bigBed narrowPeak	bigBed	narrowPeak	replicated peaks	GRCh38	ENCSR000AMG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF668YOE/	2063181	ENCODE Processing Pipeline	2fb23a366379a620ce7f8f06ff892afa		https://www.encodeproject.org/files/ENCFF400OQM/@@download/ENCFF400OQM.bigBed				released	s3://encode-public/2019/02/01/5024ad54-9d9c-4d39-945d-ae0802b15bf3/ENCFF400OQM.bigBed	ENCODE3 GRCh38	released	low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF426YGG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLI	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MYC-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF049SMR/	20499	ENCODE Processing Pipeline	343e8518e7b1d1545d227ee10ab130db		https://www.encodeproject.org/files/ENCFF426YGG/@@download/ENCFF426YGG.bigBed				released	s3://encode-public/2020/12/11/cdbddabf-e06b-458a-9296-75cf5323a7cc/ENCFF426YGG.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length	poor library complexity, insufficient read depth	
ENCFF979ZEJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR000DLI	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MYC-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF376MST/, /files/ENCFF856UFA/, /files/ENCFF229OER/	264201884	ENCODE Processing Pipeline	16a7c9798a462ac8a473dd0b333e309b		https://www.encodeproject.org/files/ENCFF979ZEJ/@@download/ENCFF979ZEJ.bigWig				released	s3://encode-public/2020/12/11/47a70f39-0dbb-472c-9e22-595ab804da8a/ENCFF979ZEJ.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length	poor library complexity, insufficient read depth	
ENCFF049SMR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLI	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MYC-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF376MST/, /files/ENCFF856UFA/, /files/ENCFF356LFX/, /files/ENCFF229OER/	159	ENCODE Processing Pipeline	2ffaf2f242e9fe88c69f7060e62d583a		https://www.encodeproject.org/files/ENCFF049SMR/@@download/ENCFF049SMR.bed.gz				released	s3://encode-public/2020/12/11/d6747c29-27fb-4fa9-8125-7bbc6acfe94e/ENCFF049SMR.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length	poor library complexity, insufficient read depth	
ENCFF101QGI	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AUS	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIRT6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF381IYY/, /files/ENCFF623AJW/, /files/ENCFF724BIE/, /files/ENCFF451YMU/, /files/ENCFF853FRF/	1870298055	ENCODE Processing Pipeline	68192abc5de46ce4593e638181eeef3d		https://www.encodeproject.org/files/ENCFF101QGI/@@download/ENCFF101QGI.bigWig				released	s3://encode-public/2021/03/20/0b8d4a4c-7548-4ee6-b7f0-b2f75127ec25/ENCFF101QGI.bigWig	ENCODE4 v1.7.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF843QCB	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AUS	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIRT6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF219XEX/	85601	ENCODE Processing Pipeline	830392a51313a47997ad070efb08caeb		https://www.encodeproject.org/files/ENCFF843QCB/@@download/ENCFF843QCB.bigBed				released	s3://encode-public/2021/03/20/1b6abd83-8fc2-47e6-b6cd-96794003214b/ENCFF843QCB.bigBed	ENCODE4 v1.7.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF219XEX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AUS	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIRT6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF381IYY/, /files/ENCFF623AJW/, /files/ENCFF356LFX/, /files/ENCFF724BIE/, /files/ENCFF451YMU/, /files/ENCFF853FRF/	5663	ENCODE Processing Pipeline	c7740986fb1594e17c340329ee351f42		https://www.encodeproject.org/files/ENCFF219XEX/@@download/ENCFF219XEX.bed.gz				released	s3://encode-public/2021/03/20/e4fb7bc9-b045-4cab-be97-b52cd0df96b0/ENCFF219XEX.bed.gz	ENCODE4 v1.7.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF135SDQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EBO	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIN3A-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF322CXV/, /files/ENCFF972YCC/, /files/ENCFF291RLC/	902725954	ENCODE Processing Pipeline	c7d726afd8ef3908ad7341d27393af09		https://www.encodeproject.org/files/ENCFF135SDQ/@@download/ENCFF135SDQ.bigWig				released	s3://encode-public/2021/01/05/acc22659-6023-4d5b-94da-c83d8872d077/ENCFF135SDQ.bigWig	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment		
ENCFF156JCN	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000EBO	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SIN3A-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF322CXV/, /files/ENCFF356LFX/, /files/ENCFF972YCC/, /files/ENCFF291RLC/	525459	ENCODE Processing Pipeline	d161369d8280550ca98f7f6ea647b003		https://www.encodeproject.org/files/ENCFF156JCN/@@download/ENCFF156JCN.bed.gz				released	s3://encode-public/2021/01/05/55626ab2-26da-4b4e-b481-9009776e763f/ENCFF156JCN.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment		
