File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF161DKZ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR277JAU	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H4K8ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF705IRW/	1416108	ENCODE Processing Pipeline	74c789ad67c0330d498b796b1cd806ee		https://www.encodeproject.org/files/ENCFF161DKZ/@@download/ENCFF161DKZ.bigBed				released	s3://encode-public/2020/11/13/accbc1a2-4146-4c82-b612-21fdd6fc0ad5/ENCFF161DKZ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/accbc1a2-4146-4c82-b612-21fdd6fc0ad5/ENCFF161DKZ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth, inconsistent platforms		
ENCFF540VIA	bigWig	bigWig		signal p-value	GRCh38	ENCSR277JAU	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H4K8ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF804IMD/, /files/ENCFF277NHI/	583806070	ENCODE Processing Pipeline	6aea09a463c7f0071a027ff158013daf		https://www.encodeproject.org/files/ENCFF540VIA/@@download/ENCFF540VIA.bigWig				released	s3://encode-public/2020/11/13/50174303-c998-43c8-9359-ee17547bb92f/ENCFF540VIA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/50174303-c998-43c8-9359-ee17547bb92f/ENCFF540VIA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth, inconsistent platforms		
ENCFF705IRW	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR277JAU	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H4K8ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF804IMD/, /files/ENCFF277NHI/, /files/ENCFF356LFX/	621258	ENCODE Processing Pipeline	73f46622b69b156a2e4dc45bd7f6dcfd		https://www.encodeproject.org/files/ENCFF705IRW/@@download/ENCFF705IRW.bed.gz				released	s3://encode-public/2020/11/13/95f5a42d-8447-4800-a063-ffc270fb486b/ENCFF705IRW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/95f5a42d-8447-4800-a063-ffc270fb486b/ENCFF705IRW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth, inconsistent platforms		
ENCFF444TGS	bigWig	bigWig		signal p-value	GRCh38	ENCSR626UPW	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K9ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF804IMD/, /files/ENCFF158DIT/	533412571	ENCODE Processing Pipeline	9309467f8ad29029400fee7efe409bb5		https://www.encodeproject.org/files/ENCFF444TGS/@@download/ENCFF444TGS.bigWig				released	s3://encode-public/2020/11/13/d72250c8-806c-4fd9-93f3-38e8c940c3b1/ENCFF444TGS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/d72250c8-806c-4fd9-93f3-38e8c940c3b1/ENCFF444TGS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length, low read depth	poor library complexity	
ENCFF292SGV	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR626UPW	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K9ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF986AXA/	3787656	ENCODE Processing Pipeline	20431db0f8cad832b7f36e6ae245c31f		https://www.encodeproject.org/files/ENCFF292SGV/@@download/ENCFF292SGV.bigBed				released	s3://encode-public/2020/11/13/597931c9-07fe-4ce6-a709-d9872ffb49ef/ENCFF292SGV.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/597931c9-07fe-4ce6-a709-d9872ffb49ef/ENCFF292SGV.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length, low read depth	poor library complexity	
ENCFF986AXA	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR626UPW	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K9ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF804IMD/, /files/ENCFF356LFX/, /files/ENCFF158DIT/	1862581	ENCODE Processing Pipeline	743cad086d2e93ee667d563a914696b8		https://www.encodeproject.org/files/ENCFF986AXA/@@download/ENCFF986AXA.bed.gz				released	s3://encode-public/2020/11/13/c1f917db-8311-477b-9368-403c3cc2fee6/ENCFF986AXA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/c1f917db-8311-477b-9368-403c3cc2fee6/ENCFF986AXA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length, low read depth	poor library complexity	
ENCFF281MTO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR570POG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K79me1-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF067DUE/, /files/ENCFF356LFX/, /files/ENCFF804IMD/	972428	ENCODE Processing Pipeline	951394c297f40c7fac73b185c1c9cb4b		https://www.encodeproject.org/files/ENCFF281MTO/@@download/ENCFF281MTO.bed.gz				released	s3://encode-public/2020/11/13/731f6ec3-4d8a-42e2-9248-e6e432300161/ENCFF281MTO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/731f6ec3-4d8a-42e2-9248-e6e432300161/ENCFF281MTO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth, inconsistent platforms		
ENCFF352KAK	bigWig	bigWig		signal p-value	GRCh38	ENCSR570POG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K79me1-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF067DUE/, /files/ENCFF804IMD/	596748153	ENCODE Processing Pipeline	d28a793f3d8c16661b41b2e057299a32		https://www.encodeproject.org/files/ENCFF352KAK/@@download/ENCFF352KAK.bigWig				released	s3://encode-public/2020/11/13/df432711-405b-486b-bb2e-2439f41881f1/ENCFF352KAK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/df432711-405b-486b-bb2e-2439f41881f1/ENCFF352KAK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth, inconsistent platforms		
ENCFF015XDQ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR570POG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K79me1-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF281MTO/	2213423	ENCODE Processing Pipeline	f1b2692f5393e857418bbd1ccc3fb4eb		https://www.encodeproject.org/files/ENCFF015XDQ/@@download/ENCFF015XDQ.bigBed				released	s3://encode-public/2020/11/13/02736989-536d-451b-aeed-372585729ee4/ENCFF015XDQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/02736989-536d-451b-aeed-372585729ee4/ENCFF015XDQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth, inconsistent platforms		
ENCFF681NUL	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR651SVZ	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H2BK5ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF565JUO/	1960943	ENCODE Processing Pipeline	d6b72e5840ebaf434ffc0e18857d9248		https://www.encodeproject.org/files/ENCFF681NUL/@@download/ENCFF681NUL.bigBed				released	s3://encode-public/2020/11/13/bdef3f11-c7ce-4994-9ec9-b67652ab49e0/ENCFF681NUL.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/bdef3f11-c7ce-4994-9ec9-b67652ab49e0/ENCFF681NUL.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, moderate library complexity, low read length		
