"","Frame","Family","Type","Motif","Species","thredhold","is_top"
"1",NA,NA,NA,NA,NA,NA,NA
"2","MER11_combined_F1","All","motif","SP3","All","logP_5","yes"
"3","MER11_combined_F1","All","motif","KLF14","All","logP_5",NA
"4","MER11_combined_F1","All","motif","KLF1","All","logP_5",NA
"5","MER11_combined_F1","All","motif","SOX9","All","logP_5","yes"
"6","MER11_combined_F1","All","motif","KLF5","All","logP_5",NA
"7","MER11_combined_F1","All","motif","KLF7","All","logP_5",NA
"8","MER11_combined_F1","All","motif","SOX14","All","logP_5",NA
"9","MER11_combined_F1","All","motif","KLF16","All","logP_5",NA
"10","MER11_combined_F1","All","motif","SOX12","All","logP_5",NA
"11","MER11_combined_F1","All","motif","KLF2","All","logP_5",NA
"12","MER11_combined_F1","All","motif","KLF10","All","logP_5",NA
"13","MER11_combined_F1","All","motif","RXRG","All","logP_5","yes"
"14","MER11_combined_F1","All","motif","PPARD","All","logP_5","yes"
"15","MER11_combined_F1","All","motif","KLF6","All","logP_5",NA
"16","MER11_combined_F1","All","motif","KLF11","All","logP_5",NA
"17","MER11_combined_F1","All","motif","POU5F1::SOX2","All","logP_5","yes"
"18","MER11_combined_F1","All","motif","MSGN1","All","logP_5","yes"
"19","MER11_combined_F1","All","motif","MYF6","All","logP_5","yes"
"20","MER11_combined_F1","All","motif","NR2F1","All","logP_5","yes"
"21","MER11_combined_F1","All","motif","RXRA","All","logP_5",NA
"22","MER11_combined_F1","All","motif","RXRB","All","logP_5",NA
"23","MER11_combined_F1","All","motif","ZNF354A","All","logP_5","yes"
"24","MER11_combined_F1","All","motif","THRB","All","logP_5","yes"
"25","MER11_combined_F1","All","motif","NR2C2","All","logP_5","yes"
"26","MER11_combined_F1","All","motif","NR5A1","All","logP_5",NA
"27","MER11_combined_F1","All","motif","ZFP335","All","logP_5","yes"
"28","MER11_combined_F1","All","motif","KLF3","All","logP_5",NA
"29","MER11_combined_F1","All","motif","PLAGL2","All","logP_5","yes"
"30","MER11_combined_F1","All","motif","NR1H3::RXRA","All","logP_5","yes"
"31","MER11_combined_F1","All","motif","SNAI2","All","logP_5",NA
"32","MER11_combined_F1","All","motif","ZIC2","All","logP_5","yes"
