Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
259,hg19_G1_v1,1,-1759.848804,0,0.095,0.636,1,0.136952949,0.790698619,1,-,1,MER9s,
260,hg19_G1_v1,2,-1759.884683,0.035879516,0.139,0.364,0.936,0.130605468,0.5840977,2,-,1,MER9s,
261,hg19_G1_v1,5,-1759.884737,0.035933471,0.16,0.364,0.936,0.130588134,0.583403526,3,-,1,MER9s,
262,hg19_G1_v1,3,-1760.674516,0.825712536,0.33,0.416,0.702,0.244099857,0.570200197,4,-,1,MER9s,kept
263,hg19_G1_v1,12,-1761.952821,2.104017538,0.014,0.237,0.766,0.041779721,0.509163399,5,-,1,MER9s,
264,hg19_G1_v1,6,-1761.953182,2.104377836,0.021,0.237,0.766,0.041651301,0.501543017,6,-,1,MER9s,
265,hg19_G1_v1,7,-1761.953625,2.104821176,0.041,0.237,0.766,0.041578364,0.506971164,7,-,1,MER9s,
266,hg19_G1_v1,24,-1762.153839,2.305035299,0.034,0.228,0.709,0.035680846,0.406280271,8,-,2,MER9s,
267,hg19_G1_v1,13,-1762.157236,2.308431813,0.041,0.224,0.708,0.035050268,0.439302935,9,-,2,MER9s,
268,hg19_G1_v1,4,-1762.613482,2.764678555,0.009,0.149,0.563,0.022761117,0.101164154,10,-,0,MER9s,
269,hg19_G1_v1,25,-1762.942908,3.094104277,0.007,0.164,0.555,0.015340544,0.047115575,11,-,0,MER9s,
270,hg19_G1_v1,9,-1763.811632,3.962828094,0.019,0.163,0.413,0.017929784,0.156173808,12,-,0,MER9s,
271,hg19_G1_v1,8,-1763.811639,3.962835381,0.01,0.163,0.413,0.01792927,0.155972702,13,-,0,MER9s,
272,hg19_G1_v1,10,-1763.811868,3.963064341,0.029,0.163,0.413,0.017887543,0.154437345,14,-,0,MER9s,
273,hg19_G1_v1,11,-1764.053613,4.204809428,0.012,0.145,0.397,0.014222814,0.158085624,15,-,0,MER9s,
