"","label.final","cluster.final","label","edgeID","parent","node","branch.length","Order","edgeOrder","node.order","node.bootstrap","TEfamily","species","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name","is_consensus"
"1","Node120/97:MER11A(10,1)","Node120/97","T_666","1031 521",1031,521,0.0439766165,521,640,NA,NA,"MER11A","hg19","#D6DB49",0.2401028561,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"2","Node120/97:MER11A(10,1)","Node120/97","T_29","1031 522",1031,522,0.0412620525,522,641,NA,NA,"MER11A","hg19","#D6DB49",0.2373882921,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"3","Node120/97:MER11A(10,1)","Node120/97","T_906","1031 527",1031,527,0.0511768883,527,647,NA,NA,"MER11A","hg19","#D6DB49",0.2473031279,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"4","Node120/97:MER11A(10,1)","Node120/97","T_840","1032 525",1032,525,2.5259e-06,525,645,NA,NA,"MER11A","hg19","#D6DB49",0.23997703,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"5","Node120/97:MER11A(10,1)","Node120/97","T_755","1031 520",1031,520,0.049418295,520,639,NA,NA,"MER11A","hg19","#D6DB49",0.2455445346,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"6","Node120/97:MER11A(10,1)","Node120/97","T_255","1031 526",1031,526,0.053684966,526,646,NA,NA,"MER11A","hg19","#D6DB49",0.2498112056,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"7","Node120/97:MER11A(10,1)","Node120/97","T_756","1031 528",1031,528,0.0873483686,528,648,NA,NA,"MER11A","hg19","#D6DB49",0.2834746082,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"8","Node120/97:MER11A(10,1)","Node120/97","T_807","1032 524",1032,524,2.5259e-06,524,644,NA,NA,"MER11A","hg19","#D6DB49",0.23997703,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"9","Node120/97:MER11A(10,1)","Node120/97","T_883","1031 523",1031,523,0.0258127116,523,642,NA,NA,"MER11A","hg19","#D6DB49",0.2219389512,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"10","Node120/97:MER11A(10,1)","Node120/97","T_275","1031 529",1031,529,0.055282827,529,649,NA,NA,"MER11A","hg19","#D6DB49",0.2514090666,"kept","Node120","97","MER11A","10","10","11A|N120|10","instance"
"11","Node147/100:MER11A(25,1)","Node147/100","T_425","1131 802",1131,802,0.0448563505,802,1021,NA,NA,"MER11A","hg19","#7FE7A4",1.1980393332,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"12","Node147/100:MER11A(25,1)","Node147/100","T_869","1140 817",1140,817,0.0017037396,817,1045,NA,NA,"MER11A","hg19","#7FE7A4",1.2053670584,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"13","Node147/100:MER11A(25,1)","Node147/100","T_867","1138 819",1138,819,0.0039416109,819,1047,NA,NA,"MER11A","hg19","#7FE7A4",1.1957211214,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"14","Node147/100:MER11A(25,1)","Node147/100","T_398","1135 805",1135,805,0.0362556841,805,1028,NA,NA,"MER11A","hg19","#7FE7A4",1.1933353768,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"15","Node147/100:MER11A(25,1)","Node147/100","T_590","1136 811",1136,811,0.0450703441,811,1035,NA,NA,"MER11A","hg19","#7FE7A4",1.1973477992,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"16","Node147/100:MER11A(25,1)","Node147/100","T_655","1058 822",1058,822,0.0454271034,822,1050,NA,NA,"MER11A","hg19","#7FE7A4",1.1893467051,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"17","Node147/100:MER11A(25,1)","Node147/100","T_4","1136 808",1136,808,0.0397303775,808,1032,NA,NA,"MER11A","hg19","#7FE7A4",1.1920078326,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"18","Node147/100:MER11A(25,1)","Node147/100","T_259","1058 804",1058,804,0.0461454467,804,1023,NA,NA,"MER11A","hg19","#7FE7A4",1.1900650484,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"19","Node147/100:MER11A(25,1)","Node147/100","T_125","1134 807",1134,807,0.044465811,807,1030,NA,NA,"MER11A","hg19","#7FE7A4",1.1998570847,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"20","Node147/100:MER11A(25,1)","Node147/100","T_866","1140 818",1140,818,0.0025584517,818,1046,NA,NA,"MER11A","hg19","#7FE7A4",1.2062217705,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"21","Node147/100:MER11A(25,1)","Node147/100","T_120","1131 801",1131,801,0.0402230675,801,1020,NA,NA,"MER11A","hg19","#7FE7A4",1.1934060502,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"22","Node147/100:MER11A(25,1)","Node147/100","T_179","1136 810",1136,810,0.0418456137,810,1034,NA,NA,"MER11A","hg19","#7FE7A4",1.1941230688,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"23","Node147/100:MER11A(25,1)","Node147/100","T_136","1058 821",1058,821,0.0325971969,821,1049,NA,NA,"MER11A","hg19","#7FE7A4",1.1765167986,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"24","Node147/100:MER11A(25,1)","Node147/100","T_829","1058 820",1058,820,0.0486609772,820,1048,NA,NA,"MER11A","hg19","#7FE7A4",1.1925805789,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"25","Node147/100:MER11A(25,1)","Node147/100","T_806","1058 624",1058,624,0.0849540454,624,770,NA,NA,"MER11A","hg19","#7FE7A4",1.2288736471,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"26","Node147/100:MER11A(25,1)","Node147/100","T_845","1135 806",1135,806,0.0484469895,806,1029,NA,NA,"MER11A","hg19","#7FE7A4",1.2055266822,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"27","Node147/100:MER11A(25,1)","Node147/100","T_337","1058 800",1058,800,0.0881649304,800,1018,NA,NA,"MER11A","hg19","#7FE7A4",1.2320845321,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"28","Node147/100:MER11A(25,1)","Node147/100","T_844","1058 823",1058,823,0.0627492891,823,1051,NA,NA,"MER11A","hg19","#7FE7A4",1.2066688908,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"29","Node147/100:MER11A(25,1)","Node147/100","T_121","1132 812",1132,812,0.0465587934,812,1036,NA,NA,"MER11A","hg19","#7FE7A4",1.1948418916,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"30","Node147/100:MER11A(25,1)","Node147/100","T_187","1058 814",1058,814,0.051664165,814,1038,NA,NA,"MER11A","hg19","#7FE7A4",1.1955837667,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"31","Node147/100:MER11A(25,1)","Node147/100","T_865","1139 816",1139,816,0.0008472442,816,1043,NA,NA,"MER11A","hg19","#7FE7A4",1.2045080371,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"32","Node147/100:MER11A(25,1)","Node147/100","T_686","1137 815",1137,815,0.0362265094,815,1040,NA,NA,"MER11A","hg19","#7FE7A4",1.192592564,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"33","Node147/100:MER11A(25,1)","Node147/100","T_728","1058 803",1058,803,0.0378034052,803,1022,NA,NA,"MER11A","hg19","#7FE7A4",1.1817230069,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"34","Node147/100:MER11A(25,1)","Node147/100","T_493","1058 813",1058,813,0.0515075307,813,1037,NA,NA,"MER11A","hg19","#7FE7A4",1.1954271324,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"35","Node147/100:MER11A(25,1)","Node147/100","T_67","1136 809",1136,809,0.065138917,809,1033,NA,NA,"MER11A","hg19","#7FE7A4",1.2174163721,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"36","Node148/100:MER11A(10,1)","Node148/100","T_537","1059 799",1059,799,0.0520541351,799,1017,NA,NA,"MER11A","hg19","#E78A45",0.1760841404,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
