"","label.final","cluster.final","label","edgeID","parent","node","branch.length","Order","edgeOrder","node.order","node.bootstrap","TEfamily","species","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name","is_consensus"
"1","Node1/:MER11B(30,0.93)","Node1/","MER11D","513 1",513,1,2.0129692745,1,1,NA,NA,"MER11D","Ancient","#C6E54B",0,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","consensus"
"2","Node1/:MER11B(30,0.93)","Node1/","MER11B","513 509",513,509,0.0210494604,509,666,NA,NA,"MER11B","Ancient","#C6E54B",2.0340187349,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","consensus"
"3","Node1/:MER11B(30,0.93)","Node1/","MER11C","513 507",513,507,0.0570130661,507,664,NA,NA,"MER11C","Ancient","#C6E54B",2.0699823406,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","consensus"
"4","Node1/:MER11B(30,0.93)","Node1/","T_1139","513 497",513,497,0.0480586417,497,653,NA,NA,"MER11B","hg19","#C6E54B",2.0610279162,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"5","Node1/:MER11B(30,0.93)","Node1/","T_1455","670 503",670,503,0.0412070278,503,660,NA,NA,"MER11B","hg19","#C6E54B",2.0730243648,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"6","Node1/:MER11B(30,0.93)","Node1/","T_1350","669 494",669,494,0.0306502073,494,650,NA,NA,"MER11B","hg19","#C6E54B",2.0569799262,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"7","Node1/:MER11B(30,0.93)","Node1/","T_1438","513 505",513,505,0.048208314,505,662,NA,NA,"MER11B","hg19","#C6E54B",2.0611775885,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"8","Node1/:MER11B(30,0.93)","Node1/","T_1176","513 488",513,488,0.0596835675,488,643,NA,NA,"MER11B","hg19","#C6E54B",2.072652842,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"9","Node1/:MER11B(30,0.93)","Node1/","T_1128","513 492",513,492,0.0413367498,492,647,NA,NA,"MER11B","hg19","#C6E54B",2.0543060243,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
"10","Node1/:MER11B(30,0.93)","Node1/","T_1138","513 490",513,490,0.0518472561,490,645,NA,NA,"MER11B","hg19","#C6E54B",2.0648165306,"kept","Node1",NA,"MER11B","30","30","11B|N1|30","instance"
