"","label.final.correctedName","cluster.final","edgeID","parent","node","branch.length","label","Order","edgeOrder","node.order","node.bootstrap","label.final","label.final.corrected","n","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name"
"1","MER11A_g1","Node1/","2556 1",2556,1,0.0714017861,"T_12221",1,1,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"2","MER11A_g1","Node1/","2556 2",2556,2,0.0827142412,"T_12765",2,2,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1541160273,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"3","MER11A_g1","Node1/","2998 1823",2998,1823,0.0406261498,"T_13664",1823,2265,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1743409427,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"4","MER11A_g1","Node1/","2999 1824",2999,1824,0.1620387148,"T_11590",1824,2267,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.3679005611,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"5","MER11A_g1","Node1/","2999 1825",2999,1825,0.000002496,"T_14073",1825,2268,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.2058643423,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"6","MER11A_g1","Node1/","2556 1826",2556,1826,0.1445520147,"T_14032",1826,2269,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.2159538008,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"7","MER11A_g1","Node1/","2556 1827",2556,1827,0.2237398653,"T_12133",1827,2270,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.2951416514,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"8","MER11A_g1","Node1/","2556 1828",2556,1828,0.1318173032,"T_14063",1828,2271,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.2032190893,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"9","MER11A_g1","Node1/","2556 1829",2556,1829,0.3240525029,"T_13906",1829,2272,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.395454289,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"10","MER11A_g1","Node1/","3000 1830",3000,1830,0.2053212849,"T_12130",1830,2274,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.3512404055,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"11","MER11A_g1","Node1/","3000 1831",3000,1831,0.0296904043,"T_11933",1831,2275,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1756095249,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"12","MER11A_g1","Node1/","3000 1832",3000,1832,0.0374356713,"T_11934",1832,2276,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1833547919,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"13","MER11A_g1","Node1/","2556 1833",2556,1833,0.1633613117,"T_14048",1833,2277,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.2347630978,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"14","MER11A_g1","Node1/","3001 1834",3001,1834,0.6313665394,"T_11689",1834,2279,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.7291953628,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"15","MER11A_g1","Node1/","3001 1835",3001,1835,0.0571042131,"T_11918",1835,2280,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1549330365,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"16","MER11A_g1","Node1/","3001 1836",3001,1836,0.0470597308,"T_12469",1836,2281,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1448885542,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"17","MER11A_g1","Node1/","3002 1837",3002,1837,0.0294025039,"T_12713",1837,2283,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1310516055,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"18","MER11A_g1","Node1/","3002 1838",3002,1838,0.0390993124,"T_12758",1838,2284,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.140748414,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"19","MER11A_g1","Node1/","2556 1839",2556,1839,0.533483534,"T_13027",1839,2285,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.6048853201,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"20","MER11A_g1","Node1/","2556 1840",2556,1840,0.0516750855,"T_12606",1840,2286,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1230768716,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"21","MER11A_g1","Node1/","3003 1841",3003,1841,0.0308514945,"T_13976",1841,2288,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1464013767,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"22","MER11A_g1","Node1/","3003 1842",3003,1842,0.0373215423,"T_13300",1842,2289,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1528714245,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"23","MER11A_g1","Node1/","2556 1843",2556,1843,0.0632468037,"T_13636",1843,2290,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1346485898,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"24","MER11A_g1","Node1/","3004 1844",3004,1844,0.0564540355,"T_13042",1844,2292,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1481769036,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"25","MER11A_g1","Node1/","3004 1845",3004,1845,0.0568982882,"T_12636",1845,2293,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1486211563,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"26","MER11A_g1","Node1/","3004 1846",3004,1846,0.0354788063,"T_11710",1846,2294,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1272016744,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"27","MER11A_g1","Node1/","3004 1847",3004,1847,0.0337505168,"T_14012",1847,2295,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1254733849,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"28","MER11A_g1","Node1/","3004 1848",3004,1848,0.0475245137,"T_12722",1848,2296,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1392473818,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"29","MER11A_g1","Node1/","3004 1849",3004,1849,0.0463259882,"T_13614",1849,2297,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1380488563,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"30","MER11A_g1","Node1/","3005 1850",3005,1850,0.0964840583,"T_12383",1850,2299,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1843036254,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
"31","MER11A_g1","Node1/","3005 1851",3005,1851,0.0465915122,"T_13832",1851,2300,NA,NA,"Node1/:(2555,677)","MER11A_g1:(2555,677)",677,"#8F5B8C",0.1344110793,"kept","Node1",NA,"MER11A_g1","2555","677","MER11A_g1"
