# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('Step21_hg19_G5_v1.mafft.prank.best.fas.nonrev_dna.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-8240.757794,0,0.019,0.595,1,0.03763833477,0.8173485692
124,-8240.782397,0.02460275318,0.023,0.405,0.975,0.03797178283,0.6832581256
123,-8240.782414,0.02461969009,0.062,0.405,0.975,0.03797062787,0.6792348532
2,-8240.883529,0.1257348032,0.04,0.42,0.981,0.03350412034,0.7782495424
121,-8240.889925,0.1321311549,0.063,0.401,0.954,0.03587634485,0.5558071051
3,-8240.923627,0.1658333091,0.027,0.456,0.994,0.02946074625,0.8394073669
4,-8240.956725,0.1989308591,0.032,0.444,0.986,0.03117633841,0.7272649293
119,-8240.961061,0.2032671103,0.059,0.442,0.985,0.03104590494,0.7315705367
120,-8241.144141,0.3863465412,0.049,0.359,0.943,0.02837662616,0.3876177652
5,-8241.555548,0.7977543246,0.008,0.289,0.953,0.01664226004,0.2836408516
118,-8241.559873,0.8020789066,0.023,0.288,0.953,0.01657018332,0.2807865141
43,-8241.616555,0.8587605193,0.015,0.372,0.883,0.02392929047,0.6357933608
15,-8241.617603,0.8598090247,0.032,0.373,0.881,0.02417280317,0.6280087683
16,-8241.617827,0.8600327887,0.035,0.373,0.881,0.0241642924,0.6292087788
44,-8242.031861,1.274066619,0.016,0.304,0.826,0.01432313344,0.2280437115
14,-8242.034358,1.276564032,0.007,0.307,0.83,0.0140682811,0.2429246788
45,-8242.086884,1.329090425,0.005,0.296,0.818,0.01366294401,0.1118503431
46,-8242.086902,1.329107522,0.016,0.296,0.818,0.01366074482,0.1112084287
