"","subfamily","Node1/","edgeID","parent","node","branch.length","Order","cluster","collapse","edgeOrder","Order.rerooted.tree"
"8","MER11A_g17",0.0510407174,"61 30",61,30,0.0098289978,30,NA,NA,59,1
"9","MER11A_g18",0.0521575861,"61 31",61,31,0.0109458665,31,NA,NA,60,2
"6","MER11A_g15",0.0475645599,"57 29",57,29,0.0096717523,29,NA,NA,57,3
"11","MER11A_g2",0.0423271713,"58 25",58,25,0.0013452715,25,NA,NA,51,4
"14","MER11A_g22",0.0563867479,"59 28",59,28,0.0114746135,28,NA,NA,56,5
"26","MER11A_g33",0.0854461985,"60 26",60,26,0.0053000588,26,NA,NA,54,6
"10","MER11A_g19",0.0816190212,"60 27",60,27,0.0014728815,27,NA,NA,55,7
"4","MER11A_g13",0.0117108117,"33 24",33,24,0.001030525,24,NA,NA,47,8
"30","MER11A_g8",0.0190351527,"34 23",34,23,2.2348e-06,23,NA,NA,46,9
"7","MER11A_g16",0.0367917438,"35 22",35,22,0.0067192677,22,NA,NA,45,10
"13","MER11A_g21",0.0484633526,"36 21",36,21,0.0030247872,21,NA,NA,44,11
"27","MER11A_g5",0.0717707935,"37 20",37,20,2.0067e-06,20,NA,NA,43,12
"16","MER11A_g24",0.0985599659,"38 19",38,19,0.0105817212,19,NA,NA,42,13
"17","MER11A_g25",0.1060089263,"39 18",39,18,0.0104564439,18,NA,NA,41,14
"18","MER11A_g26",0.1080921683,"40 17",40,17,0.0074224407,17,NA,NA,40,15
"15","MER11A_g23",0.1360151232,"52 16",52,16,0.0057803816,16,NA,NA,39,16
"23","MER11A_g30",0.160313927,"53 15",53,15,0.0201965153,15,NA,NA,38,17
"3","MER11A_g11",0.1579738905,"54 12",54,12,0.0060806063,12,NA,NA,34,18
"28","MER11A_g6",0.1768333694,"55 13",55,13,0.0008833226,13,NA,NA,36,19
"31","MER11A_g9",0.1843556808,"55 14",55,14,0.008405634,14,NA,NA,37,20
"29","MER11A_g7",0.1415234722,"42 11",42,11,2.1156e-06,11,NA,NA,30,21
"21","MER11A_g29",0.1709206675,"43 10",43,10,0.0159965539,10,NA,NA,29,22
"1","MER11A_g1",0.1904705584,"44 9",44,9,0.0016339691,9,NA,NA,28,23
"20","MER11A_g28",0.2136970412,"45 8",45,8,0.0149483051,8,NA,NA,27,24
"19","MER11A_g27",0.2363891243,"50 7",50,7,0.0013528013,7,NA,NA,26,25
"12","MER11A_g20",0.2764133083,"51 5",51,5,0.0117565408,5,NA,NA,24,26
"25","MER11A_g32",0.2677319675,"51 6",51,6,0.0030752,6,NA,NA,25,27
"5","MER11A_g14",0.2299132068,"47 4",47,4,2.8805e-06,4,NA,NA,21,28
"22","MER11A_g3",0.2453948653,"48 3",48,3,0.0100300772,3,NA,NA,20,29
"24","MER11A_g31",0.2486962697,"49 1",49,1,0.0112038675,1,NA,NA,18,30
"2","MER11A_g10",0.237494511,"49 2",49,2,2.1088e-06,2,NA,NA,19,31
