# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('Step19_macFas5_MER11A_subfamily3.mafft.prank.best.fas.nonrev_dna.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-5540.520036,0,0.162,0.644,1,0.1442775705,0.824416362
2,-5540.779013,0.258977165,0.071,0.356,0.997,0.0985433165,0.7872854926
45,-5540.824183,0.3041462933,0.101,0.326,0.988,0.1068362677,0.5260798344
4,-5542.015194,1.495157796,0.125,0.353,0.984,0.09751018478,0.7450788014
3,-5543.372981,2.852945099,0.02,0.199,0.919,0.02793177804,0.4909242858
46,-5543.490606,2.97056952,0.042,0.195,0.945,0.03560185234,0.5951005708
44,-5543.725029,3.204992287,0.021,0.168,0.906,0.02253517987,0.1899811951
43,-5544.023758,3.503722218,0.036,0.191,0.902,0.033506145,0.2914503132
59,-5544.963222,4.443185724,0.007,0.103,0.852,0.01131279689,0.114409215
42,-5545.100442,4.580405911,0.02,0.221,0.861,0.02959188996,0.356131318
5,-5545.10096,4.580923573,0.031,0.221,0.861,0.02956986525,0.3353161168
56,-5545.986969,5.466933111,0.036,0.172,0.804,0.03211575991,0.5051958212
47,-5546.785736,6.265699954,0.009,0.139,0.758,0.01397956982,0.07734880167
8,-5549.085275,8.565238847,0.01,0.145,0.662,0.008738972959,0.3842627113
7,-5549.34527,8.825234155,0.005,0.139,0.638,0.009968077928,0.1986614022
6,-5549.493791,8.973754576,0.003,0.138,0.631,0.00882870507,0.1905700059
40,-5549.497649,8.977612434,0.008,0.136,0.63,0.009358943242,0.1526244908
39,-5549.507714,8.987678012,0.01,0.136,0.641,0.01024048819,0.1864142279
55,-5549.653667,9.13363084,0.002,0.078,0.559,0.003805916448,0.1373892873
48,-5549.654205,9.1341692,0.002,0.078,0.559,0.003804606508,0.1373904561
34,-5549.666483,9.146447164,0.032,0.189,0.594,0.02800057127,0.4713787213
36,-5549.816666,9.296629287,0.109,0.197,0.58,0.09630207146,0.3552873647
51,-5549.882933,9.36289652,0.01,0.124,0.521,0.01091304675,0.410428712
57,-5550.126874,9.606837838,0.01,0.096,0.561,0.0115185198,0.2112552934
58,-5550.180061,9.660025236,0.012,0.091,0.552,0.01039969481,0.172696144
52,-5550.303725,9.783688919,0.037,0.127,0.521,0.03075617029,0.206044122
32,-5550.413213,9.893176625,0.006,0.138,0.596,0.006383017085,0.2250804134
54,-5550.79354,10.27350425,0.013,0.088,0.508,0.008860004076,0.1252798369
53,-5551.000605,10.48056875,0.009,0.111,0.494,0.01222524806,0.07414009137
31,-5551.310275,10.79023887,0,0.115,0.555,0.002936089948,0.2653759772
37,-5551.427454,10.90741754,0.004,0.12,0.552,0.003956879744,0.1155400079
35,-5551.726137,11.20610107,0.018,0.153,0.496,0.01738123227,0.2108203361
30,-5551.821508,11.30147199,0.001,0.097,0.52,0.00219278884,0.2293276702
38,-5552.086996,11.56695956,0.002,0.102,0.513,0.002013730648,0.1660409429
50,-5552.145374,11.62533823,0.001,0.073,0.456,0.002199308319,0.08434809205
9,-5552.366726,11.84668955,0.002,0.084,0.473,0.003021180609,0.1555619867
41,-5552.771706,12.25166997,0,0.064,0.459,0.0005623008112,2.736118381e-05
33,-5552.930875,12.41083923,0.004,0.11,0.449,0.004084175182,0.1066412176
49,-5552.972982,12.45294551,0,0.059,0.421,0.0007900923076,0.03066382772
29,-5556.442738,15.92270203,0.001,0.05,0.27,0.001959280439,0.07290753162
10,-5556.442903,15.92286697,0.004,0.05,0.27,0.001958776867,0.0738674538
11,-5561.692659,21.17262262,0,0.022,0.115,0.0003869567355,0.02181065239
28,-5561.693198,21.17316218,0,0.022,0.115,0.0003868328695,0.02179272057
12,-5568.055987,27.53595118,0,0.009,0.043,0.0001239791815,0.05282780027
21,-5568.103245,27.58320871,0.001,0.01,0.053,0.0006550595783,0.022851872
26,-5568.202274,27.68223785,0.001,0.013,0.055,0.0004635049621,0.0814494576
13,-5568.763417,28.24338042,0,0.009,0.05,0.0002220101773,0.004760482397
14,-5568.859556,28.33951949,0.001,0.009,0.047,0.0002699848215,3.199127523e-05
27,-5569.334979,28.81494301,0,0.006,0.033,1.910798954e-05,0.04675152836
17,-5570.708747,30.18871083,0.001,0.013,0.051,0.00095115402,0.004541312654
22,-5572.746221,32.22618456,0,0.006,0.025,8.035561976e-06,0.006369928725
25,-5572.746243,32.22620714,0,0.006,0.025,8.034479917e-06,0.001604262896
16,-5574.614389,34.09435249,0,0.008,0.022,6.053173969e-06,1.475050694e-57
18,-5574.616295,34.09625842,0,0.008,0.022,6.039274643e-06,4.198158353e-60
15,-5575.078705,34.5586683,0,0.008,0.021,7.428569563e-06,6.529798554e-40
20,-5575.130077,34.61004065,0,0.008,0.021,8.964751614e-06,4.822163462e-48
19,-5575.431273,34.91123697,0,0.005,0.019,4.782781963e-06,4.388960745e-31
24,-5583.527671,43.00763469,0,0.001,0.004,1.552913835e-09,0.004277827278
23,-5583.853855,43.33381852,0,0.001,0.004,3.042777706e-09,2.218064899e-23

