from	to	score
AluJb	AluJo	527
AluJb	AluJr	514
AluJb	AluJr4	501
AluJb	AluSc	471
AluJb	AluSc5	453
AluJb	AluSc8	464
AluJb	AluSg	489
AluJb	AluSg4	475
AluJb	AluSg7	462
AluJb	AluSp	458
AluJb	AluSq	476
AluJb	AluSq10	449
AluJb	AluSq2	476
AluJb	AluSq4	460
AluJb	AluSx	496
AluJb	AluSx1	491
AluJb	AluSx3	487
AluJb	AluSx4	484
AluJb	AluSz	500
AluJb	AluSz6	496
AluJb	AluY	451
AluJb	AluYRa1	411
AluJb	AluYRa2	420
AluJb	AluYRa3	416
AluJb	AluYRa4	412
AluJb	AluYRb1	399
AluJb	AluYRb2	377
AluJb	AluYRb3	395
AluJb	AluYRc0	438
AluJb	AluYRc1	429
AluJb	AluYRc2	425
AluJb	AluYRd1	402
AluJb	AluYRd2	407
AluJb	AluYRd4	402
AluJb	AluYa5	428
AluJb	AluYa8	421
AluJb	AluYb8	407
AluJb	AluYb9	407
AluJb	AluYc	412
AluJb	AluYc3	401
AluJb	AluYd8	385
AluJb	AluYe5	428
AluJb	AluYe6	424
AluJb	AluYg6	433
AluJb	AluYh9	415
AluJb	AluYk11	401
AluJb	AluYk12	410
AluJb	AluYk4	428
AluJb	FAM	227
AluJb	FLAM_A	171
AluJb	FLAM_C	209
AluJb	FRAM	287
AluJb	SVA_A	241
AluJb	SVA_B	202
AluJb	SVA_C	186
AluJb	SVA_D	186
AluJb	SVA_E	177
AluJb	SVA_F	135
AluJo	AluJb	527
AluJo	AluJr	550
AluJo	AluJr4	537
AluJo	AluSc	435
AluJo	AluSc5	426
AluJo	AluSc8	428
AluJo	AluSg	453
AluJo	AluSg4	439
AluJo	AluSg7	426
AluJo	AluSp	426
AluJo	AluSq	440
AluJo	AluSq10	413
AluJo	AluSq2	440
AluJo	AluSq4	424
AluJo	AluSx	460
AluJo	AluSx1	455
AluJo	AluSx3	451
AluJo	AluSx4	448
AluJo	AluSz	464
AluJo	AluSz6	469
AluJo	AluY	415
AluJo	AluYRa1	384
AluJo	AluYRa2	393
AluJo	AluYRa3	379
AluJo	AluYRa4	385
AluJo	AluYRb1	363
AluJo	AluYRb2	345
AluJo	AluYRb3	359
AluJo	AluYRc0	402
AluJo	AluYRc1	393
AluJo	AluYRc2	393
AluJo	AluYRd1	375
AluJo	AluYRd2	370
AluJo	AluYRd4	375
AluJo	AluYa5	392
AluJo	AluYa8	385
AluJo	AluYb8	370
AluJo	AluYb9	370
AluJo	AluYc	376
AluJo	AluYc3	365
AluJo	AluYd8	353
AluJo	AluYe5	397
AluJo	AluYe6	392
AluJo	AluYg6	397
AluJo	AluYh9	388
AluJo	AluYk11	365
AluJo	AluYk12	383
AluJo	AluYk4	392
AluJo	FAM	245
AluJo	FLAM_A	189
AluJo	FLAM_C	227
AluJo	FRAM	305
AluJo	SVA_A	218
AluJo	SVA_B	179
AluJo	SVA_C	172
AluJo	SVA_D	172
AluJo	SVA_E	163
AluJo	SVA_F	122
AluJr4	AluJb	501
AluJr4	AluJo	537
AluJr4	AluJr	542
AluJr4	AluSc	427
AluJr4	AluSc5	418
AluJr4	AluSc8	420
AluJr4	AluSg	444
AluJr4	AluSg4	431
AluJr4	AluSg7	418
AluJr4	AluSp	418
AluJr4	AluSq	432
AluJr4	AluSq10	405
AluJr4	AluSq2	432
AluJr4	AluSq4	416
AluJr4	AluSx	452
AluJr4	AluSx1	447
AluJr4	AluSx3	443
AluJr4	AluSx4	440
AluJr4	AluSz	456
AluJr4	AluSz6	461
AluJr4	AluY	407
AluJr4	AluYRa1	376
AluJr4	AluYRa2	385
AluJr4	AluYRa3	371
AluJr4	AluYRa4	377
AluJr4	AluYRb1	355
AluJr4	AluYRb2	337
AluJr4	AluYRb3	351
AluJr4	AluYRc0	394
AluJr4	AluYRc1	385
AluJr4	AluYRc2	385
AluJr4	AluYRd1	367
AluJr4	AluYRd2	362
AluJr4	AluYRd4	367
AluJr4	AluYa5	384
AluJr4	AluYa8	386
AluJr4	AluYb8	362
AluJr4	AluYb9	362
AluJr4	AluYc	368
AluJr4	AluYc3	357
AluJr4	AluYd8	345
AluJr4	AluYe5	379
AluJr4	AluYe6	375
AluJr4	AluYg6	389
AluJr4	AluYh9	379
AluJr4	AluYk11	357
AluJr4	AluYk12	375
AluJr4	AluYk4	384
AluJr4	FAM	232
AluJr4	FLAM_A	181
AluJr4	FLAM_C	219
AluJr4	FRAM	291
AluJr4	SVA_A	210
AluJr4	SVA_B	171
AluJr4	SVA_C	164
AluJr4	SVA_D	164
AluJr4	SVA_E	155
AluJr4	SVA_F	122
AluJr	AluJb	514
AluJr	AluJo	550
AluJr	AluJr4	542
AluJr	AluSc	431
AluJr	AluSc5	422
AluJr	AluSc8	424
AluJr	AluSg	448
AluJr	AluSg4	434
AluJr	AluSg7	422
AluJr	AluSp	422
AluJr	AluSq	435
AluJr	AluSq10	408
AluJr	AluSq2	435
AluJr	AluSq4	419
AluJr	AluSx	455
AluJr	AluSx1	451
AluJr	AluSx3	446
AluJr	AluSx4	444
AluJr	AluSz	460
AluJr	AluSz6	464
AluJr	AluY	410
AluJr	AluYRa1	379
AluJr	AluYRa2	389
AluJr	AluYRa3	375
AluJr	AluYRa4	380
AluJr	AluYRb1	359
AluJr	AluYRb2	341
AluJr	AluYRb3	354
AluJr	AluYRc0	398
AluJr	AluYRc1	389
AluJr	AluYRc2	389
AluJr	AluYRd1	379
AluJr	AluYRd2	375
AluJr	AluYRd4	379
AluJr	AluYa5	388
AluJr	AluYa8	380
AluJr	AluYb8	366
AluJr	AluYb9	366
AluJr	AluYc	371
AluJr	AluYc3	361
AluJr	AluYd8	349
AluJr	AluYe5	392
AluJr	AluYe6	388
AluJr	AluYg6	392
AluJr	AluYh9	383
AluJr	AluYk11	361
AluJr	AluYk12	379
AluJr	AluYk4	388
AluJr	FAM	250
AluJr	FLAM_A	185
AluJr	FLAM_C	223
AluJr	FRAM	309
AluJr	SVA_A	214
AluJr	SVA_B	175
AluJr	SVA_C	168
AluJr	SVA_D	168
AluJr	SVA_E	159
AluSc5	AluJb	453
AluSc5	AluJo	426
AluSc5	AluJr	422
AluSc5	AluJr4	418
AluSc5	AluSc	531
AluSc5	AluSc8	509
AluSc5	AluSg	525
AluSc5	AluSg4	507
AluSc5	AluSg7	494
AluSc5	AluSp	479
AluSc5	AluSq	497
AluSc5	AluSq10	465
AluSc5	AluSq2	497
AluSc5	AluSq4	496
AluSc5	AluSx	517
AluSc5	AluSx1	512
AluSc5	AluSx3	514
AluSc5	AluSx4	511
AluSc5	AluSz	517
AluSc5	AluSz6	494
AluSc5	AluY	496
AluSc5	AluYRa1	456
AluSc5	AluYRa2	465
AluSc5	AluYRa3	465
AluSc5	AluYRa4	457
AluSc5	AluYRb1	435
AluSc5	AluYRb2	413
AluSc5	AluYRb3	431
AluSc5	AluYRc0	483
AluSc5	AluYRc1	465
AluSc5	AluYRc2	461
AluSc5	AluYRd1	452
AluSc5	AluYRd2	447
AluSc5	AluYRd4	443
AluSc5	AluYa5	473
AluSc5	AluYa8	466
AluSc5	AluYb8	443
AluSc5	AluYb9	443
AluSc5	AluYc	448
AluSc5	AluYc3	437
AluSc5	AluYd8	421
AluSc5	AluYe5	464
AluSc5	AluYe6	460
AluSc5	AluYg6	478
AluSc5	AluYh9	455
AluSc5	AluYk11	451
AluSc5	AluYk12	460
AluSc5	AluYk4	473
AluSc5	FAM	183
AluSc5	FLAM_A	128
AluSc5	FLAM_C	166
AluSc5	FRAM	238
AluSc5	SVA_A	250
AluSc5	SVA_B	210
AluSc5	SVA_C	191
AluSc5	SVA_D	191
AluSc5	SVA_E	182
AluSc5	SVA_F	158
AluSc8	AluJb	464
AluSc8	AluJo	428
AluSc8	AluJr	424
AluSc8	AluJr4	420
AluSc8	AluSc	527
AluSc8	AluSc5	509
AluSc8	AluSg	526
AluSc8	AluSg4	508
AluSc8	AluSg7	496
AluSc8	AluSp	480
AluSc8	AluSq	499
AluSc8	AluSq10	476
AluSc8	AluSq2	499
AluSc8	AluSq4	498
AluSc8	AluSx	518
AluSc8	AluSx1	514
AluSc8	AluSx3	539
AluSc8	AluSx4	522
AluSc8	AluSz	518
AluSc8	AluSz6	496
AluSc8	AluY	539
AluSc8	AluYRa1	499
AluSc8	AluYRa2	504
AluSc8	AluYRa3	504
AluSc8	AluYRa4	500
AluSc8	AluYRb1	470
AluSc8	AluYRb2	447
AluSc8	AluYRb3	470
AluSc8	AluYRc0	526
AluSc8	AluYRc1	508
AluSc8	AluYRc2	504
AluSc8	AluYRd1	486
AluSc8	AluYRd2	481
AluSc8	AluYRd4	486
AluSc8	AluYa5	517
AluSc8	AluYa8	499
AluSc8	AluYb8	481
AluSc8	AluYb9	481
AluSc8	AluYc	487
AluSc8	AluYc3	476
AluSc8	AluYd8	460
AluSc8	AluYe5	508
AluSc8	AluYe6	503
AluSc8	AluYg6	521
AluSc8	AluYh9	499
AluSc8	AluYk11	489
AluSc8	AluYk12	494
AluSc8	AluYk4	517
AluSc8	FAM	196
AluSc8	FLAM_A	142
AluSc8	FLAM_C	159
AluSc8	FRAM	255
AluSc8	SVA_A	242
AluSc8	SVA_B	202
AluSc8	SVA_C	83.3
AluSc8	SVA_D	80.6
AluSc8	SVA_E	68.9
AluSc8	SVA_F	80.6
AluSc	AluJb	471
AluSc	AluJo	435
AluSc	AluJr	431
AluSc	AluJr4	427
AluSc	AluSc5	531
AluSc	AluSc8	527
AluSc	AluSg	534
AluSc	AluSg4	516
AluSc	AluSg7	503
AluSc	AluSp	488
AluSc	AluSq	506
AluSc	AluSq10	474
AluSc	AluSq2	506
AluSc	AluSq4	505
AluSc	AluSx	526
AluSc	AluSx1	521
AluSc	AluSx3	532
AluSc	AluSx4	529
AluSc	AluSz	526
AluSc	AluSz6	503
AluSc	AluY	514
AluSc	AluYRa1	474
AluSc	AluYRa2	483
AluSc	AluYRa3	483
AluSc	AluYRa4	475
AluSc	AluYRb1	453
AluSc	AluYRb2	431
AluSc	AluYRb3	449
AluSc	AluYRc0	501
AluSc	AluYRc1	483
AluSc	AluYRc2	479
AluSc	AluYRd1	461
AluSc	AluYRd2	465
AluSc	AluYRd4	461
AluSc	AluYa5	491
AluSc	AluYa8	484
AluSc	AluYb8	461
AluSc	AluYb9	461
AluSc	AluYc	466
AluSc	AluYc3	455
AluSc	AluYd8	439
AluSc	AluYe5	482
AluSc	AluYe6	478
AluSc	AluYg6	496
AluSc	AluYh9	473
AluSc	AluYk11	464
AluSc	AluYk12	469
AluSc	AluYk4	491
AluSc	FAM	196
AluSc	FLAM_A	139
AluSc	FLAM_C	161
AluSc	FRAM	251
AluSc	SVA_A	245
AluSc	SVA_B	205
AluSc	SVA_C	187
AluSc	SVA_D	187
AluSc	SVA_E	178
AluSc	SVA_F	77.0
AluSg4	AluJb	475
AluSg4	AluJo	439
AluSg4	AluJr	434
AluSg4	AluJr4	431
AluSg4	AluSc	516
AluSg4	AluSc5	507
AluSg4	AluSc8	508
AluSg4	AluSg	542
AluSg4	AluSg7	538
AluSg4	AluSp	496
AluSg4	AluSq	523
AluSg4	AluSq10	500
AluSg4	AluSq2	523
AluSg4	AluSq4	522
AluSg4	AluSx	534
AluSg4	AluSx1	538
AluSg4	AluSx3	531
AluSg4	AluSx4	533
AluSg4	AluSz	534
AluSg4	AluSz6	511
AluSg4	AluY	504
AluSg4	AluYRa1	469
AluSg4	AluYRa2	478
AluSg4	AluYRa3	473
AluSg4	AluYRa4	461
AluSg4	AluYRb1	462
AluSg4	AluYRb2	439
AluSg4	AluYRb3	457
AluSg4	AluYRc0	496
AluSg4	AluYRc1	478
AluSg4	AluYRc2	473
AluSg4	AluYRd1	460
AluSg4	AluYRd2	464
AluSg4	AluYRd4	460
AluSg4	AluYa5	486
AluSg4	AluYa8	479
AluSg4	AluYb8	469
AluSg4	AluYb9	469
AluSg4	AluYc	474
AluSg4	AluYc3	463
AluSg4	AluYd8	447
AluSg4	AluYe5	477
AluSg4	AluYe6	472
AluSg4	AluYg6	477
AluSg4	AluYh9	463
AluSg4	AluYk11	463
AluSg4	AluYk12	468
AluSg4	AluYk4	490
AluSg4	FAM	196
AluSg4	FLAM_A	142
AluSg4	FLAM_C	170
AluSg4	FRAM	255
AluSg4	SVA_A	244
AluSg4	SVA_B	204
AluSg4	SVA_C	185
AluSg4	SVA_D	185
AluSg4	SVA_E	176
AluSg4	SVA_F	80.6
AluSg7	AluJb	462
AluSg7	AluJo	426
AluSg7	AluJr	422
AluSg7	AluJr4	418
AluSg7	AluSc	503
AluSg7	AluSc5	494
AluSg7	AluSc8	496
AluSg7	AluSg	529
AluSg7	AluSg4	538
AluSg7	AluSp	483
AluSg7	AluSq	510
AluSg7	AluSq10	492
AluSg7	AluSq2	510
AluSg7	AluSq4	509
AluSg7	AluSx	521
AluSg7	AluSx1	526
AluSg7	AluSx3	518
AluSg7	AluSx4	525
AluSg7	AluSz	521
AluSg7	AluSz6	503
AluSg7	AluY	496
AluSg7	AluYRa1	456
AluSg7	AluYRa2	465
AluSg7	AluYRa3	461
AluSg7	AluYRa4	453
AluSg7	AluYRb1	444
AluSg7	AluYRb2	422
AluSg7	AluYRb3	440
AluSg7	AluYRc0	483
AluSg7	AluYRc1	465
AluSg7	AluYRc2	461
AluSg7	AluYRd1	452
AluSg7	AluYRd2	456
AluSg7	AluYRd4	452
AluSg7	AluYa5	478
AluSg7	AluYa8	471
AluSg7	AluYb8	452
AluSg7	AluYb9	452
AluSg7	AluYc	457
AluSg7	AluYc3	446
AluSg7	AluYd8	430
AluSg7	AluYe5	464
AluSg7	AluYe6	460
AluSg7	AluYg6	469
AluSg7	AluYh9	455
AluSg7	AluYk11	446
AluSg7	AluYk12	460
AluSg7	AluYk4	473
AluSg7	FAM	178
AluSg7	FLAM_A	128
AluSg7	FLAM_C	166
AluSg7	FRAM	238
AluSg7	SVA_A	84.2
AluSg7	SVA_B	196
AluSg7	SVA_C	178
AluSg7	SVA_D	178
AluSg7	SVA_E	168
AluSg7	SVA_F	80.6
AluSg	AluJb	489
AluSg	AluJo	453
AluSg	AluJr	448
AluSg	AluJr4	444
AluSg	AluSc	534
AluSg	AluSc5	525
AluSg	AluSc8	526
AluSg	AluSg4	542
AluSg	AluSg7	529
AluSg	AluSp	514
AluSg	AluSq	532
AluSg	AluSq10	500
AluSg	AluSq2	532
AluSg	AluSq4	531
AluSg	AluSx	552
AluSg	AluSx1	547
AluSg	AluSx3	549
AluSg	AluSx4	546
AluSg	AluSz	552
AluSg	AluSz6	529
AluSg	AluY	513
AluSg	AluYRa1	473
AluSg	AluYRa2	482
AluSg	AluYRa3	478
AluSg	AluYRa4	474
AluSg	AluYRb1	457
AluSg	AluYRb2	434
AluSg	AluYRb3	453
AluSg	AluYRc0	500
AluSg	AluYRc1	482
AluSg	AluYRc2	478
AluSg	AluYRd1	460
AluSg	AluYRd2	464
AluSg	AluYRd4	460
AluSg	AluYa5	490
AluSg	AluYa8	483
AluSg	AluYb8	460
AluSg	AluYb9	460
AluSg	AluYc	470
AluSg	AluYc3	459
AluSg	AluYd8	443
AluSg	AluYe5	481
AluSg	AluYe6	477
AluSg	AluYg6	495
AluSg	AluYh9	472
AluSg	AluYk11	463
AluSg	AluYk12	477
AluSg	AluYk4	490
AluSg	FAM	196
AluSg	FLAM_A	142
AluSg	FLAM_C	175
