name	dna_count	rna_count	ratio	log2	n_obs_bc
hg19_MER52A_F2_249bp_225_473.frameSeq_chrX:30166223_30166409	0.39800270579825564	0.31221519540099285	0.7844549568445703	-0.3502374844085793	635.0
panTro4_MER52C_F1_241bp_42_282.frameSeq_chr6:16530546_16530778	0.2621225943711618	0.32667610130471464	1.2462721959868366	0.3176191991109179	154.0
macFas5_MER34_F1_224bp_97_320.frameSeq_chr7:32599794_32599987	0.416242541514361	0.2949989362278591	0.7087188521255009	-0.49671466923678165	61.0
panTro4_MER34_F1_224bp_97_320.frameSeq_chr9:131269583_131269800	0.6056363659490106	0.3525161607364353	0.5820591043671148	-0.7807624378914395	43.0
hg19_MER11C_F2_250bp_583_832.frameSeq_chr8:42633710_42633957	0.3632142261212648	0.8347545335435754	2.29824294730372	1.2005313133643571	66.0
hg19_MER52D_F2_230bp_553_782.frameSeq_chr12:61750163_61750419	0.4000189123485131	0.4030934084027341	1.0076858767406036	0.011045981401165226	130.0
panTro4_MER11B_F1_236bp_366_601.frameSeq_chr19:40164925_40165168	0.28908086895396556	0.059554778008373874	0.20601424862140436	-2.2791839725053316	3.0
hg19_MER11A_F1_260bp_371_630.frameSeq_chr4:44193379_44193577	0.1471684423765643	0.16940025744604126	1.1510637383291165	0.20296772263204912	4.0
panTro4_MER52A_F2_249bp_225_473.frameSeq_chr2A:24150407_24150594	0.49605456040725493	0.33597018880851626	0.6772847497514966	-0.562165583561544	908.0
macFas5_MER11A_F1_260bp_371_630.frameSeq_chr19:38718987_38719203	0.19917533554722988	0.5015139200705169	2.5179519275949422	1.3322507395770156	37.0
hg19_MER34C__F1_246bp_132_377.frameSeq_chr5:143391021_143391237	0.06570019748953763	1.508721042878805	22.963721579665872	4.521284563967033	7.0
macFas5_MER34D_F1_253bp_97_349.frameSeq_chr5:96238004_96238262	0.31536094794978065	0.06881885458745426	0.21822250039156166	-2.1961282327777734	4.0
hg19_MER11A_F1_260bp_371_630.frameSeq_chr4:28633323_28633548	0.2580225937770933	0.43673503872807506	1.6926232402165995	0.7592608805219349	21.0
hg19_MER52A_F1_259bp_60_318.frameSeq_chr9:30943579_30943762	0.35675098999261295	0.31322128532612087	0.877982946403615	-0.18773517719719962	606.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr4:4101132_4101380	0.5781617379079311	0.759323419606767	1.3133408349614528	0.39324136946616395	15.0
panTro4_MER52D_F2_230bp_553_782.frameSeq_chr3:96909859_96910089	0.2739311763563781	0.1958690476719852	0.715030141064207	-0.48392403698607594	169.0
panTro4_MER52C_F1_241bp_42_282.frameSeq_chr17:51330581_51330821	0.48968106993207144	0.3657747393032455	0.7469652428140335	-0.42088698063649327	198.0
hg19_MER52A_F2_249bp_225_473.frameSeq_chr11:76688801_76688984	0.29278314336215205	0.26468790225943944	0.9040407832907211	-0.14554023759634474	432.0
panTro4_MER34B_F1_257bp_82_338.frameSeq_chr20:12244896_12245151	0.33288100061365733	0.2735108323347541	0.8216474711099285	-0.2834085583670571	5.0
macFas5_MER11A_F1_260bp_371_630.frameSeq_chrUn_KE145883:243011_243242	0.38225569448458263	0.32885466644354594	0.8603002419282717	-0.21708785141341966	32.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr11:18789200_18789449	0.3884881242859617	1.086371216230047	2.796407787823088	1.4835747579137923	22.0
panTro4_MER11A_F1_260bp_371_630.frameSeq_chr2B:136929594_136929790	0.4601933833044948	0.19116348496515073	0.4153981606438356	-1.2674332668509063	44.0
hg19_MER11B_F2_255bp_602_856.frameSeq_chr2:115594101_115594355	0.4250517124540522	0.6364017823890001	1.4972337806021536	0.5822995038163287	22.0
hg19_MER34_F1_224bp_97_320.frameSeq_chr11:88318158_88318336	0.3440702779452089	0.28059141907586793	0.8155061249450626	-0.2942323823957159	237.0
hg19_MER34B_F1_257bp_82_338.frameSeq_chr4:54311735_54311987	0.2473419199606123	0.19306646988335582	0.7805650975544318	-0.35740913981083444	16.0
macFas5_MER11A_F1_260bp_371_630.frameSeq_chr10:94892883_94893113	0.28354822074432035	0.18040570180314425	0.6362434626800877	-0.6523491671292393	37.0
panTro4_MER11B_F2_255bp_602_856.frameSeq_chr6:113449210_113449423	0.28649594315109855	0.6695302183382215	2.3369623003181927	1.224634460871836	243.0
panTro4_MER11B_F2_255bp_602_856.frameSeq_chr7:120679482_120679723	0.6279261428149001	0.6225797360591709	0.9914856120948206	-0.012336257894722032	93.0
hg19_MER52C_F1_241bp_42_282.frameSeq_chr15:46122024_46122216	0.34324232208154143	0.40618682921999644	1.1833821271128149	0.24291601101649607	557.0
hg19_MER11C_F1_236bp_347_582.frameSeq_chr15:101090992_101091226	0.49932150092048605	0.456586631397533	0.9144141210739525	-0.12908041197576356	27.0
hg19_MER34_F1_224bp_97_320.frameSeq_chr21:25531455_25531634	0.2912116861698425	0.22820389411016534	0.7836357706368647	-0.3517448410509238	36.0
panTro4_MER34A1_F1_260bp_97_356.frameSeq_chr4:99660680_99660879	0.41705342754228236	0.2468502392810859	0.5918911654456055	-0.756596171578181	91.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr3:163863530_163863778	0.3457905131028296	0.48201060095666337	1.39393818711656	0.4791665876642907	37.0
panTro4_MER34B_F1_257bp_82_338.frameSeq_chr3:75357306_75357561	0.28191357468237965	0.25626601446027547	0.9090233230130893	-0.13761078444634983	21.0
macFas5_MER34B_F1_257bp_82_338.frameSeq_chr6:132875295_132875548	0.37376112349603635	0.2779222973724114	0.7435826786178812	-0.4274349310892745	17.0
MER52A_F1_259bp_60_318.speciesSeq_withInDel	0.37654516734136784	0.3381079833518028	0.8979214518647143	-0.15533884809648102	450.0
hg19_MER11A_F1_260bp_371_630.frameSeq_chr3:18491367_18491564	0.36075381166982484	0.486063238694607	1.3473544089382206	0.4301293881163688	21.0
panTro4_MER11B_F1_236bp_366_601.frameSeq_chr8:53305661_53305895	0.47742143509064017	0.43011784117158913	0.9009185795981902	-0.15053136633766265	11.0
panTro4_MER11B_F1_236bp_366_601.frameSeq_chr11:64891948_64892180	0.36653794388899946	0.3447908200484804	0.9406688333279218	-0.0882411897939363	37.0
hg19_MER11C_F2_250bp_583_832.frameSeq_chr4:153622090_153622339	0.15505246607530881	0.6484853605356267	4.182360828886514	2.0643175343303826	19.0
macFas5_MER11A_F1_260bp_371_630.frameSeq_chr4:49624731_49624941	0.2658925639576582	0.26624488991978906	1.001325068880779	0.0019104048734527811	16.0
hg19_MER11A_F2_260bp_769_1028.frameSeq_chr19:35061219_35061476	0.22633047624967248	0.24092000899532653	1.0644611940353974	0.09012335590277286	48.0
macFas5_MER34D_F1_253bp_97_349.frameSeq_chr5:57638237_57638481	0.32892485968955615	0.35348642430776755	1.0746722660044392	0.10389676000185073	30.0
macFas5_MER52D_F2_230bp_553_782.frameSeq_chr5:122093340_122093528	0.49843153808596635	0.3032311007757044	0.6083706138262163	-0.7169776267544127	1003.0
hg19_MER11A_F2_260bp_769_1028.frameSeq_chr1:185547621_185547880	0.17566158065623746	0.24936386581284034	1.4195697481558887	0.5054537351817436	37.0
macFas5_MER34A_F1_253bp_97_349.frameSeq_chr7:78444427_78444672	0.3442690348451772	0.21969095887533477	0.6381374350851304	-0.6480609255008722	19.0
macFas5_MER52A_F2_249bp_225_473.frameSeq_chr12:61638684_61638864	0.24546043014210853	0.23754042510462517	0.967734086374337	-0.047317416159590266	584.0
hg19_MER11A_F1_260bp_371_630.frameSeq_chr8:137724226_137724461	0.1810405441933926	0.08234734736960339	0.45485583208166697	-1.136518743639618	8.0
hg19_MER34A1_F1_260bp_97_356.frameSeq_chr11:35561847_35562106	0.6599219836726892	0.41614820188567425	0.6306021199197952	-0.6651980748936523	17.0
hg19_MER34_F1_224bp_97_320.frameSeq_chr6:94921015_94921218	0.15768047397489032	0.12940297443794818	0.8206658134383515	-0.2851332388365181	8.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr7:123149678_123149930	0.47742143509064017	0.6049221432887606	1.2670611305374548	0.34148613031591973	47.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr2B:158523553_158523801	0.5799137431743189	0.47908510308958546	0.826131659627827	-0.27555637431320296	29.0
panTro4_MER34_F1_224bp_97_320.frameSeq_chr7:122082122_122082299	0.22185030541848694	0.18400592723336937	0.8294148024104366	-0.2698342999058867	248.0
ctrl_seq552__chr15:60298554-60298724_	0.21870153544809995	0.873599193506033	3.99448129943901	1.9980081751653511	204.0
macFas5_MER11A_F2_260bp_769_1028.frameSeq_chrX:92211591_92211837	0.3566582149432043	0.45690173604308004	1.281063261407953	0.35734172053984586	83.0
hg19_MER34C__F1_246bp_132_377.frameSeq_chrX:33924593_33924789	0.49640149214317325	0.24116008872526706	0.4858166072065535	-1.041516286829965	8.0
macFas5_MER34_F1_224bp_97_320.frameSeq_chr6:73468519_73468686	0.21654785092551607	0.4467931790139338	2.06325381251469	1.0449213062136198	24.0
