"","iPSC","NPC"
"MER11A-F1-260bp_371-630",1.39461516906606,2.48871255679735
"MER11A-F2-260bp_769-1028",1.92256259692401,1.66477549821143
"MER11A_F1_260bp_371_630.speciesSeq",0.841640760200016,0.55187182075672
"MER11A_F1_260bp_371_630.speciesSeq_withInDel",1.15483444969639,1.36614659815319
"MER11A_F2_260bp_769_1028.speciesSeq",1.01455674328336,1.16743460178114
"MER11A_F2_260bp_769_1028.speciesSeq_withInDel",1.06505375480085,1.37544433708259
"MER11B-F1-236bp_366-601",1.86464515340529,1.28428779431302
"MER11B-F2-255bp_602-856",25.8315770850631,9.39123582233258
"MER11B_F1_236bp_366_601.speciesSeq",0.776742749641896,0.921395185593639
"MER11B_F1_236bp_366_601.speciesSeq_withInDel",1.12162355818773,1.15585225344421
"MER11B_F2_255bp_602_856.speciesSeq",5.44565348101297,1.6114847043041
"MER11B_F2_255bp_602_856.speciesSeq_withInDel",8.7360947662325,2.80610732799743
"MER11C-F1-236bp_347-582",4.28856974184847,2.00022362815339
"MER11C-F2-250bp_583-832",8.99700443172907,2.78279136366884
"MER11C_F1_236bp_347_582.speciesSeq",11.898811823559,2.28699968323629
"MER11C_F1_236bp_347_582.speciesSeq_withInDel",3.95349570057932,1.44587073704501
"MER11C_F2_250bp_583_832.speciesSeq",40.3106762517866,15.5306814140856
"MER34-F1-242bp_97-320",1.64509667924948,1.79680253334204
"MER34A-F1-253bp_97-349",1.00385397228454,0.647574457056798
"MER34A1-F1-260bp_97-356",1.53081441142306,1.93116867403456
"MER34A1_F1_260bp_97_356.speciesSeq",1.18609920536447,0.842281279241562
"MER34A_F1_253bp_97_349.speciesSeq",3.09468026911785,1.73975583885603
"MER34B-F1-257bp_82-338",2.0777685602154,1.47713078048748
"MER34B_F1_257bp_82_338.speciesSeq",1.74769857077881,1.60178672441492
"MER34C-F1-246bp_96-341",53.3001858782157,19.6197419365674
"MER34C2-F1-232bp_132-363",47.6877814465107,7.50265168678861
"MER34C2_F1_232bp_132_363.speciesSeq_withInDel",57.7361184809799,21.4056473119411
"MER34C_-F1-246bp_132-377",42.5174083229624,21.8974328910088
"MER34C_F1_246bp_96_341.speciesSeq",125.373364624576,65.4468703107004
"MER34C_F1_246bp_96_341.speciesSeq_withInDel",76.3972112820381,37.1660391587965
"MER34C__F1_246bp_132_377.speciesSeq",45.1315897941115,18.8824067335409
"MER34C__F1_246bp_132_377.speciesSeq_withInDel",52.4402996385609,22.0699611945266
"MER34D-F1-253bp_97-349",0.617165169566166,0.978068849905942
"MER34D_F1_253bp_97_349.speciesSeq",0.908092386228847,0.989815784964002
"MER34_F1_224bp_97_320.speciesSeq",1.31079176558567,1.46223158968582
"MER52A-F1-259bp_60-318",4.88124524157034,3.56818888706512
"MER52A-F2-249bp_225-473",0.727509707284707,1.22717907155769
"MER52A_F1_259bp_60_318.speciesSeq",2.48624115660557,1.82602349945265
"MER52A_F1_259bp_60_318.speciesSeq_withInDel",1.80202477385876,1.58412623825995
"MER52A_F2_249bp_225_473.speciesSeq_withInDel",1.11589936265951,1.26350239704083
"MER52C-F1-241bp_42-282",7.74033036183873,4.45694460310362
"MER52C-F2-238bp_356-593_492c",1.84053097347525,1.58431474930003
"MER52C-F2-238bp_356-593_492t",1.82866814931995,1.65627577405806
"MER52C_F2_238bp_356_593.speciesSeq",1.48574740662787,1.23919743507861
"MER52C_F2_238bp_356_593.speciesSeq_withInDel",1.56752447409643,1.34145536195863
"MER52D_F2_230bp_553_782.speciesSeq",1.59383521390193,1.66599247622221
"MER52D_F2_230bp_553_782.speciesSeq_withInDel",2.70759608649696,4.32321268805387
"ctrl_2xHAR.113__chr21:35467082-35467253_",1.66360866236379,1.49740104915863
"ctrl_controls_seq13__chr11:16424668-16424838_",4.91937507423195,2.58409275325018
"ctrl_controls_seq153__chr9:110512104-110512274_",14.3210540795031,10.2192255440161
"ctrl_controls_seq15__chr11:65255113-65255283_",7.90280480767976,6.21572318019472
"ctrl_controls_seq16__chr11:110001491-110001661_",1.86709778953652,1.71555124256001
"ctrl_controls_seq81__chr6:163277965-163278135_",5.0754086288605,3.07328364776561
"ctrl_controls_seq98__chr9:82226038-82226208_",0.961776091247743,1.19293816001534
"ctrl_seq1011__chr21:37472294-37472464_",12.4235843294815,2.35901325114756
"ctrl_seq1029__chr22:32146097-32146267_",15.2137198001026,11.3519755176145
"ctrl_seq1093__chr3:113873404-113873574_",33.0849704689874,13.3420426294187
"ctrl_seq10__chr1:7669064-7669234_",10.5142663371856,2.9949656033496
"ctrl_seq1111__chr3:173950555-173950725_",32.6176042296806,11.6332729713028
"ctrl_seq1150__chr4:68989351-68989521_",17.2868912296584,3.15606705067904
"ctrl_seq1152__chr4:76630601-76630771_",10.5398219158551,5.93423960023447
"ctrl_seq1157__chr4:79473653-79473823_",1.89160261972297,2.67496627445259
"ctrl_seq1185__chr4:152405952-152406122_",14.4840697889332,2.72552290567407
"ctrl_seq118__chr1:162199971-162200141_",5.99333597368732,2.23129867769825
"ctrl_seq1195__chr4:180386637-180386807_",26.5308166570849,8.52863619218217
"ctrl_seq1205__chr5:1515005-1515175_",19.4586869217591,12.6300311718736
"ctrl_seq1273__chr5:138609694-138609864_",21.8647268582672,9.22145484024746
"ctrl_seq1288__chr5:159904616-159904786_",9.03752273125365,2.10264676983704
"ctrl_seq1306__chr6:11650631-11650801_",5.97343983568758,3.21854218649202
"ctrl_seq1344__chr6:90529441-90529611_",9.6554260759161,6.66861036022775
"ctrl_seq1360__chr6:131831390-131831560_",26.5455390369997,10.4338189538677
"ctrl_seq1402__chr7:20369347-20369517_",2.0057020989433,1.81337917096837
"ctrl_seq1421__chr7:52609095-52609265_",39.9083060303209,13.3956851350686
"ctrl_seq1434__chr7:76302789-76302959_",24.2085576660174,17.9131121421963
"ctrl_seq1493__chr8:32987010-32987180_",1.59269306340958,1.44576607698089
"ctrl_seq1546__chr9:26746782-26746952_",11.2163333849827,2.33447877443747
"ctrl_seq1549__chr9:33290353-33290523_",11.1259350301642,8.82804262885444
"ctrl_seq1556__chr9:71487184-71487354_",26.0249809383678,8.82452628949628
"ctrl_seq1563__chr9:75295558-75295728_",35.3246289824411,15.5323265768685
"ctrl_seq1617__chrX:71272535-71272705_",10.4459174370417,4.75700897763156
"ctrl_seq1623__chr1:9774468-9774638_",7.63434343037354,4.64760388602705
"ctrl_seq168__chr1:244978973-244979143_",14.6664882463475,4.21286901830554
"ctrl_seq1742__chr13:87534562-87534732_",12.5742391732594,6.84330479425928
