"","statistic","pval","fdr","df.test","df.rna.full","df.rna.red","logFC","Insert","TEinsertID1","TEinsertID2","species","TEfamily","frame","length"
"1",1.59658732536384,0.206387507736963,0.347022688398787,1,3,2,0.718315864015765,"MER11A-F1-260bp_371-630","MER11A-F1-260bp","371-630","ancient","MER11A","F1","260bp"
"2",1.53867919997765,0.214814510701202,0.357480753947591,1,3,2,0.182546045408408,"MER11A-F2-260bp_769-1028","MER11A-F2-260bp","769-1028","ancient","MER11A","F2","260bp"
"3",0.0885867287077389,0.765981584684923,0.860188515215137,1,3,2,0.158540197006453,"MER11A_F1_260bp_371_630.speciesSeq","MER11A_F1_260bp","371_630.speciesSeq","ancient","MER11A","F1","260bp"
"4",2.88084352595843,0.0896390534700733,0.184922995787411,1,3,2,0.204909281024137,"MER11A_F1_260bp_371_630.speciesSeq_withInDel","MER11A_F1_260bp","371_630.speciesSeq_withInDel","ancient","MER11A","F1","260bp"
"5",0.297622871288979,0.585376518937634,0.722863836656889,1,3,2,0.134170998859964,"MER11A_F2_260bp_769_1028.speciesSeq","MER11A_F2_260bp","769_1028.speciesSeq","ancient","MER11A","F2","260bp"
"6",8.28002279133261,0.00400836258680308,0.0148323092222179,1,3,2,0.316856609374151,"MER11A_F2_260bp_769_1028.speciesSeq_withInDel","MER11A_F2_260bp","769_1028.speciesSeq_withInDel","ancient","MER11A","F2","260bp"
"7",5.65506926482317,0.0174049871590186,0.0505560391262925,1,3,2,-0.414967949628766,"MER11B-F1-236bp_366-601","MER11B-F1-236bp","366-601","ancient","MER11B","F1","236bp"
"8",144.282670242969,3.0816949388339e-33,2.46076304034097e-31,1,3,2,-1.2329598072426,"MER11B-F2-255bp_602-856","MER11B-F2-255bp","602-856","ancient","MER11B","F2","255bp"
"9",2.1827101794903,0.139568498802975,0.258513794649114,1,3,2,0.302504606583466,"MER11B_F1_236bp_366_601.speciesSeq","MER11B_F1_236bp","366_601.speciesSeq","ancient","MER11B","F1","236bp"
"10",0.000448952855776952,0.983095281805033,0.999401979159003,1,3,2,-0.00320580265944082,"MER11B_F1_236bp_366_601.speciesSeq_withInDel","MER11B_F1_236bp","366_601.speciesSeq_withInDel","ancient","MER11B","F1","236bp"
"11",32.978900247258,9.31644921474182e-09,1.1196592258151e-07,1,3,2,-1.11986825514422,"MER11B_F2_255bp_602_856.speciesSeq","MER11B_F2_255bp","602_856.speciesSeq","ancient","MER11B","F2","255bp"
"12",349.532859954266,5.35631561539344e-78,2.69584988048696e-75,1,3,2,-1.35066685156456,"MER11B_F2_255bp_602_856.speciesSeq_withInDel","MER11B_F2_255bp","602_856.speciesSeq_withInDel","ancient","MER11B","F2","255bp"
